Rank,Company Name,# of Contacts,
1,Microsoft,110,
2,IBM,95,
3,Accenture,55,
4,Google,54,
5,Amazon,46,
6,Cognizant Technology Solutions,43,
7,Oracle,42,
8,SAS,37,
9,LinkedIn,33,
10,Bank of America,31,
11,Citi,31,
12,Facebook,31,
13,FICO,30,
14,Tata Consultancy Services,28,
15,Apple,27,
16,Wells Fargo,25,
17,Capgemini,24,
18,Dell,24,
19,Deloitte,23,
20,EMC,23,
21,Hewlett-Packard,23,
22,American Express,22,
23,EY,22,
24,SAP,20,
25,PayPal,19,
26,Teradata,19,
27,Infosys,18,
28,Capital One,17,
29,JPMorgan Chase,17,
30,PwC,17,
31,CSC,14,
32,Fractal Analytics,14,
33,Intuit,14,
34,KPMG,14,
35,Yahoo!,14,
36,Booz Allen Hamilton,13,
37,HCL Technologies,13,
38,Mu Sigma,13,
39,Adobe,12,
40,Amazon.com,12,
41,Ericsson,12,
42,"Expedia, Inc.",12,
43,AIG,11,
44,AT&T,11,
45,Cisco,11,
46,Ernst & Young,11,
47,Nielsen,11,
48,T-Mobile,11,
49,Visa,11,
50,Cisco Systems,10,
51,Intel Corporation,10,
52,Slalom Consulting,10,
53,Yahoo,10,
54,Equifax,9,
55,Experian,9,
56,Ford Motor Company,9,
57,HSBC,9,
58,Independent,9,
59,"Pivotal Software, Inc.",9,
60,UnitedHealth Group,9,
61,Verizon,9,
62,Wipro,9,
63,Wipro Technologies,9,
64,ADP,8,
65,Boeing,8,
66,Freelance,8,
67,Kaiser Permanente,8,
68,LatentView,8,
69,Nordstrom,8,
70,SAS Institute,8,
71,Target,8,
72,VMware,8,
73,Walmart,8,
74,@WalmartLabs,7,
75,Consultant,7,
76,EXL,7,
77,Experis,7,
78,Fidelity Investments,7,
79,GE Capital,7,
80,GENPACT,7,
81,General Motors,7,
82,IBM Global Business Services,7,
83,Innovation Enterprise,7,
84,J.P. Morgan,7,
85,LexisNexis,7,
86,MetLife,7,
87,Salesforce,7,
88,Self-employed,7,
89,SingTel,7,
90,Tech Mahindra (formerly Mahindra Satyam),7,
91,Twitter,7,
92,UK Based RPO,7,
93,Amazon Web Services,6,
94,BDI Systems and Technologies Pvt Ltd,6,
95,Bloomberg LP,6,
96,CGI,6,
97,CIBC,6,
98,Collabera,6,
99,Flipkart.com,6,
100,Gartner,6,
101,"HERE, a Nokia company",6,
102,Hortonworks,6,
103,Informatica,6,
104,MarketShare,6,
105,MasterCard Advisors,6,
106,McKinsey & Company,6,
107,Merkle,6,
108,Morgan Stanley,6,
109,Nike,6,
110,Northwestern University,6,
111,Opera Solutions,6,
112,Oracle Corporation,6,
113,Pfizer,6,
114,Revolution Analytics,6,
115,Stanford University,6,
116,Starbucks,6,
117,The Hartford,6,
118,The Home Depot,6,
119,USAA,6,
120,Workday,6,
121,ANZ,5,
122,Allstate,5,
123,Angoss Software,5,
124,Aon Hewitt,5,
125,Arpeo Solutions,5,
126,Atos,5,
127,Avanade,5,
128,Colvill Banks Ltd,5,
129,Comcast,5,
130,DataScienceCentral,5,
131,Deloitte Consulting LLP,5,
132,Discover Financial Services,5,
133,Freelancer,5,
134,Huawei,5,
135,JPMorgan Chase & Co.,5,
136,Johnson Controls,5,
137,Leidos,5,
138,MapR Technologies,5,
139,Microsoft Corporation,5,
140,New York University,5,
141,Nielsen Company,5,
142,Orange,5,
143,Pivotal,5,
144,Pivotal Inc.,5,
145,Providence Health & Services,5,
146,Quintiles,5,
147,Royal Bank of Scotland,5,
148,Saama Technologies,5,
149,Salford Systems,5,
150,Samsung Electronics,5,
151,Splunk,5,
152,Standard Chartered Bank,5,
153,Symantec,5,
154,TD,5,
155,Telstra,5,
156,The Nielsen Company,5,
157,Thomson Reuters,5,
158,TransUnion,5,
159,Unilever,5,
160,University of Virginia,5,
161,Verisk Analytics,5,
162,White Crow Research,5,
163,Absolutdata Analytics,4,
164,Accenture Management Consulting,4,
165,AdRoll,4,
166,Arizona State University,4,
167,Barclays,4,
168,Big Cloud,4,
169,Blucora,4,
170,British American Tobacco,4,
171,Business & Decision,4,
172,CDK Global,4,
173,Capgemini Consulting,4,
174,Cigna,4,
175,Cloudera,4,
176,CoreLogic,4,
177,Credit Suisse,4,
178,DataStax,4,
179,Decisive Data,4,
180,Deloitte Consulting,4,
181,Deutsche Bank,4,
182,Dun and Bradstreet,4,
183,Eaton,4,
184,Electronic Arts,4,
185,Electronic Arts (EA),4,
186,Elsevier,4,
187,Epsilon,4,
188,FC Business Intelligence,4,
189,Fiserv,4,
190,Flubit,4,
191,GENPACT LLC,4,
192,Georgia Institute of Technology,4,
193,HUNTEX,4,
194,Hitachi Data Systems,4,
195,IE Business School,4,
196,IHS,4,
197,IQPC,4,
198,Impetus,4,
199,Inductis,4,
200,Information Builders,4,
201,Ipsos,4,
202,Juniper Networks,4,
203,LatentView Analytics,4,
204,Lockheed Martin,4,
205,Marketo,4,
206,MarketsandMarkets,4,
207,MasterCard,4,
208,Netflix,4,
209,Northeastern University,4,
210,"Predixion Software, Inc.",4,
211,Premera Blue Cross,4,
212,Pyramid Consulting,4,
213,Quixey,4,
214,Riverbed Technology,4,
215,Safeway,4,
216,Salesforce.com,4,
217,San Jose State University,4,
218,Sears Holdings Corporation,4,
219,Society Consulting,4,
220,Soft10 Inc.,4,
221,Soothsayer Analytics,4,
222,Starcom MediaVest Group,4,
223,TCS,4,
224,TIBCO Software Inc.,4,
225,Targetbase,4,
226,The Boston Consulting Group,4,
227,The Key Resourcing,4,
228,The Walt Disney Company,4,
229,UC San Diego,4,
230,University College London,4,
231,University of Toronto,4,
232,University of Washington,4,
233,Walmart eCommerce,4,
234,Xerox,4,
235,Yahoo! Labs,4,
236,ZS Associates,4,
237,Zillow,4,
238,AKQA,3,
239,Adknowledge,3,
240,Adobe Systems,3,
241,Aginity LLC,3,
242,AlgoMost,3,
243,Alibaba.com,3,
244,Alight Analytics,3,
245,Allrecipes.com,3,
246,"Alteryx, Inc.",3,
247,American Airlines,3,
248,American Statistical Association,3,
249,Amgen,3,
250,Angoss Software Corporation,3,
251,Ask.com,3,
252,Autodesk,3,
253,Axius Technologies Inc.,3,
254,BECU,3,
255,BNY Mellon,3,
256,BRIDGEi2i Analytics Solutions,3,
257,Barclaycard,3,
258,Broadridge Financial Solutions,3,
259,Carnegie Mellon University,3,
260,Charles Schwab,3,
261,Chegg Inc.,3,
262,Chevron,3,
263,Chrysler Group LLC,3,
264,Citrix,3,
265,Columbia University in the City of New York,3,
266,Comverse,3,
267,Context Relevant,3,
268,Criteo,3,
269,CrowdANALYTIX,3,
270,DST Systems,3,
271,Data IQ Argentina,3,
272,Dell Software,3,
273,Digital Analytics Association,3,
274,ESRI,3,
275,"Elder Research, Inc.",3,
276,Ensighten,3,
277,Experfy,3,
278,"Exusia, Inc.",3,
279,Farmers Insurance,3,
280,Franklin Templeton Investments,3,
281,Freddie Mac,3,
282,GE,3,
283,Genentech,3,
284,Goldman Sachs,3,
285,GoodData,3,
286,Groupon,3,
287,HDFC Bank,3,
288,HP,3,
289,HP Enterprise Services,3,
290,Hallmark Cards,3,
291,Han Digital Solution (p) Ltd,3,
292,Harvard Medical School,3,
293,Havas Media,3,
294,Hilton Worldwide,3,
295,HireVue,3,
296,Hitachi Consulting,3,
297,Humana,3,
298,Huntington National Bank,3,
299,ID Analytics,3,
300,INFORMS,3,
301,IT (Business Intelligence),3,
302,InMobi,3,
303,Independent Contractor,3,
304,Infospace,3,
305,Infosys Ltd,3,
306,Institute for Development and Research in Banking Technology,3,
307,Intel Security,3,
308,Iowa State University,3,
309,Jivaro Professional Headhunters,3,
310,KPMG US,3,
311,Kforce,3,
312,Kimberly-Clark,3,
313,L&T Infotech,3,
314,Liberty Mutual Insurance,3,
315,"Lowe's Companies, Inc.",3,
316,Lucas Group,3,
317,M&T Bank,3,
318,ManpowerGroup,3,
319,Marchex,3,
320,McCombs School of Business,3,
321,Medtronic,3,
322,Merck,3,
323,Merkle Inc,3,
324,Michigan State University,3,
325,Microsoft Research,3,
326,Millward Brown,3,
327,Motorola,3,
328,NetLine Corporation,3,
329,Networkers International PLC,3,
330,Oklahoma State University,3,
331,Orbitz Worldwide,3,
332,PBT Group,3,
333,PNC,3,
334,Penn State University,3,
335,Private,3,
336,Prudential Financial,3,
337,Quadratic Insights Pvt. Ltd.,3,
338,Quaero,3,
339,Radford University,3,
340,RapidMiner,3,
341,Red Hat,3,
342,Riot Games,3,
343,Robert Half Technology,3,
344,Roche,3,
345,Rutgers University,3,
346,SRA International,3,
347,Sapient,3,
348,Schneider Electric,3,
349,Scholastic,3,
350,Self,3,
351,Self employed,3,
352,Shutterfly,3,
353,Signature Consultants,3,
354,Stevens Institute of Technology,3,
355,Suncorp Group,3,
356,Syntel,3,
357,Syracuse University,3,
358,TEKsystems,3,
359,Tealium,3,
360,Temple University,3,
361,The Boeing Company,3,
362,Time Warner Cable,3,
363,Trexin Consulting,3,
364,TripAdvisor,3,
365,Trulia,3,
366,Turn,3,
367,Twelvefold Media,3,
368,UC Davis,3,
369,Undisclosed,3,
370,University at Buffalo,3,
371,University of Houston,3,
372,University of Texas at Dallas,3,
373,Verint,3,
374,Viacom,3,
375,Vodafone,3,
376,Vodafone Global Enterprise,3,
377,WNS Global Services,3,
378,Washington Mutual,3,
379,Western Union,3,
380,1010data,2,
381,360i,2,
382,4INFO,2,
383,????????????,2,
384,"A*STAR - Agency for Science, Technology and Research",2,
385,A9.com,2,
386,ACE Group,2,
387,ACL Mobile Limited,2,
388,"ADATAO, Inc.",2,
389,ADVECTO,2,
390,AIMMS,2,
391,APSCo - The Association of Professional Staffing Companies,2,
392,ATC Events,2,
393,AbbVie,2,
394,Accenture Interactive,2,
395,Accuen,2,
396,Actuate Corp,2,
397,Aditi Staffing,2,
398,Aditi Technologies,2,
399,Adviso,2,
400,Aflac,2,
401,Agenzia delle Entrate,2,
402,Agoda,2,
403,Agência IAEH,2,
404,Aimia Inc,2,
405,Airbus Group,2,
406,Akamai Technologies,2,
407,Akraya Inc,2,
408,Alion Science and Technology,2,
409,Alipay.com,2,
410,AlixPartners,2,
411,Allegis Global Solutions,2,
412,Alpine Data Labs,2,
413,Alternative Technology Solutions,2,
414,Amdocs,2,
415,American Dental Association,2,
416,American Marketing Association,2,
417,Amtrak,2,
418,Analysis Group,2,
419,Analytics Vidhya,2,
420,Analyttica Datalab Pvt. Ltd.,2,
421,Andreessen Horowitz,2,
422,Angie's List,2,
423,Annalect,2,
424,Answers,2,
425,Apex Systems,2,
426,Apigee,2,
427,Aplicaciones en Informática Avanzada,2,
428,Apollo Munich Health Insurance Company Ltd.,2,
429,App Annie,2,
430,Appirio,2,
431,Apple Inc.,2,
432,Approgence Technologies Inc,2,
433,Appus,2,
434,Aras Kargo,2,
435,Argus Information and Advisory Services,2,
436,Argyle Data,2,
437,Asiacell,2,
438,AstraZeneca,2,
439,AtHoc,2,
440,Atomic Database Corp,2,
441,Audax Health,2,
442,"Audible, an Amazon company",2,
443,Authenticlick,2,
444,Avance Consulting,2,
445,Aviana Global Technologies,2,
446,BBVA,2,
447,BDI Systems &  Technologies,2,
448,BHP Billiton,2,
449,BJC HealthCare,2,
450,BP,2,
451,Bank Danamon Indonesia,2,
452,Bank of the West,2,
453,Barclays Investment Bank,2,
454,Bayesia USA,2,
455,Bazaarvoice,2,
456,BeeonSearch Ltd,2,
457,Belgacom,2,
458,Bell Canada,2,
459,Big Data Journal,2,
460,Bill & Melinda Gates Foundation,2,
461,Bio-Rad Laboratories,2,
462,Birdeye,2,
463,Birkman International,2,
464,BlackBerry,2,
465,BlackRock,2,
466,Blackboard,2,
467,Blackwell & Associates,2,
468,BloomReach,2,
469,Bloomberg,2,
470,Blue Shield of California,2,
471,Boehringer Ingelheim,2,
472,Borealis,2,
473,Boulder BI Brain Trust,2,
474,Bradford & Galt,2,
475,Brillio,2,
476,BroadPoint Group,2,
477,Broadcom,2,
478,Brylinski Research,2,
479,Bursa Technical University,2,
480,Burtch Works,2,
481,CA Technologies,2,
482,CBS Interactive,2,
483,CIGNA,2,
484,CNRS - Centre national de la recherche scientifique,2,
485,COSTARCH ANALYTICAL CONSULTING (P) LTD.,2,
486,CSAA Insurance Group,2,
487,CSC - Computer Sciences Corporation,2,
488,CVS Caremark Corporation,2,
489,CVS Health,2,
490,Cablevision,2,
491,Calculation Consulting,2,
492,Cambridge Solutions,2,
493,Capella University,2,
494,Capgemini Advanced Digital Intelligence and Data Science & Analytics,2,
495,"Cardlytics, Inc.",2,
496,CareerBuilder.com,2,
497,Caspida,2,
498,Catalina Marketing,2,
499,Centene Corporation,2,
500,Centre for Next Generation Localisation (CNGL),2,
501,Cerner Corporation,2,
502,Chubb Insurance,2,
503,Citibank,2,
504,Clarizen,2,
505,"ClearEdge IT Solutions, LLC",2,
506,ClearStory Data,2,
507,Clinovo,2,
508,"Cognilytics, Inc.",2,
509,Colruyt Group,2,
510,Comcast Cable,2,
511,"CommIT Enterprises, Inc.",2,
512,CommVault,2,
513,Commonwealth Bank,2,
514,Company,2,
515,Computer Sciences Corporation,2,
516,"Conaill Productions, LLC",2,
517,Concur,2,
518,Constant Contact,2,
519,Consumer Reports,2,
520,Convergenz,2,
521,Couchbase,2,
522,Coupons Inc.,2,
523,Coursera,2,
524,Covario,2,
525,Cox Communications,2,
526,Cray Inc.,2,
527,Crayon Data,2,
528,Crystal Equation Corporation,2,
529,DBS Bank,2,
530,"DMI (Digital Management, Inc.)",2,
531,DMR,2,
532,DS-IQ,2,
533,Dagram,2,
534,Data Science Central,2,
535,Data Space Analysts,2,
536,Data science,2,
537,Data-Magnum,2,
538,DataKind,2,
539,DataLab USA,2,
540,DataSong,2,
541,Datalink,2,
542,Datalogix,2,
543,Datameer,2,
544,Datavail,2,
545,"Dell Information Management Group, Dell Software",2,
546,Deloitte Australia,2,
547,Deloitte Digital,2,
548,Deloitte U.S. India offices,2,
549,DesignMind,2,
550,Desjardins,2,
551,Digital Gurus,2,
552,Dignity Health,2,
553,Disney ABC Television Group,2,
554,Dow AgroSciences,2,
555,Dripping Springs Education Foundation,2,
556,Dun & Bradstreet,2,
557,EDF Energy,2,
558,EDF Luminus,2,
559,ENTSO-E,2,
560,ESSEC Business School,2,
561,Eames Consulting Group,2,
562,Early Warning Services,2,
563,Ebreti,2,
564,EdGE Networks Pvt. Ltd.,2,
565,Effone Technologies Pvt Ltd,2,
566,Eliassen Group,2,
567,Emcien Corporation,2,
568,Enova International,2,
569,Enphase Energy,2,
570,Enterprise Consultancy Services,2,
571,Ericsson Inc,2,
572,Ericsson Telecomunicazioni,2,
573,Etihad Airways,2,
574,Etsy,2,
575,European Commission,2,
576,Evalueserve,2,
577,Evolytics,2,
578,Excelsior Software Ltd,2,
579,Exelon,2,
580,Expedia,2,
581,EyeforTravel,2,
582,FedEx Services,2,
583,Federal Reserve Bank of Philadelphia,2,
584,Fifth Third Bank,2,
585,Florida Institute of Technology,2,
586,Forrester Research,2,
587,French Executives,2,
588,Fujitsu Canada,2,
589,FutureAdvisor - Investment Management for Everyone (We're Hiring!),2,
590,GE Aviation,2,
591,GE Healthcare,2,
592,GE Software,2,
593,GIS Center for Digital Business,2,
594,George Mason University,2,
595,Glassdoor,2,
596,Global Management Consulting,2,
597,Global Virtual Solutions,2,
598,GlobeOp Financial Services,2,
599,Guavus,2,
600,Guitar Center,2,
601,Gurobi Optimization,2,
602,HBO,2,
603,HLHeath Consulting,2,
604,Hansa Cequity,2,
605,Happiest Minds Technologies,2,
606,Heidrick & Struggles,2,
607,Herd Freed Hartz,2,
608,HomeStreet Bank,2,
609,Honeywell,2,
610,Honeywell Aerospace,2,
611,Houston Methodist,2,
612,Hulu,2,
613,Huron Consulting Group,2,
614,IAC,2,
615,IBM (SPSS),2,
616,IBM DemandTec Solutions,2,
617,IBM Global Services,2,
618,IBM India Pvt Ltd,2,
619,IDC,2,
620,"IDC Technologies, Inc.",2,
621,IEEE,2,
622,IGATE,2,
623,INauctus,2,
624,IQR Consulting Pvt. Ltd.,2,
625,IRI,2,
626,ITT Technical Institute,2,
627,Ideaknow,2,
628,Illuminate360,2,
629,In-Q-Tel,2,
630,InRhythm Solutions Pvt Ltd,2,
631,Independent Consulting,2,
632,Independent Security Consultant,2,
633,"Indian Institute of Technology, Bombay",2,
634,Indian School of Business,2,
635,Infinity Insurance,2,
636,Infor,2,
637,Infosys Lodestone,2,
638,Infosys Technologies Ltd,2,
639,Infovide-Matrix,2,
640,Ingram Micro,2,
641,Inno-V Solutions,2,
642,Innominds,2,
643,Insperity,2,
644,Intellectual Ventures,2,
645,InterContinental Hotels Group,2,
646,Invati Insights,2,
647,Invati-Insights,2,
648,Iron Mountain,2,
649,JLL,2,
650,JP Morgan Chase,2,
651,JPMC,2,
652,JWT,2,
653,John Deere,2,
654,John Lewis Partnership,2,
655,Johnson & Johnson,2,
656,Juju.com,2,
657,KXEN,2,
658,Kaggle,2,
659,Kelly Services,2,
660,Keystone Solutions,2,
661,Kforce Inc,2,
662,King,2,
663,Kofax,2,
664,Kreditech Holding SSL GmbH,2,
665,"Krux Digital, Inc.",2,
666,Lavastorm Analytics,2,
667,LegalZoom,2,
668,Lending Club,2,
669,Lenovo,2,
670,Level 3 Communications,2,
671,London Business School,2,
672,Los Angeles County Department of Mental Health,2,
673,MATRIX Resources,2,
674,MBIT School,2,
675,MEDEP/UNDP,2,
676,MFG Labs,2,
677,MITRE,2,
678,MTD Products,2,
679,Ma Foi Analytics,2,
680,Mactus Group,2,
681,Magellan Health Services,2,
682,Mahindra Satyam,2,
683,Managed Analytic Services Inc.,2,
684,Management Concepts,2,
685,Management Consulting at Publicly Traded NASDAQ Company,2,
686,MarkLogic,2,
687,MarketOne International,2,
688,Mars,2,
689,"Max M. Fisher College of Business, The Ohio State University",2,
690,"Maxaudience, Inc",2,
691,McGraw-Hill Education,2,
692,McKesson,2,
693,McMaster-Carr,2,
694,MediaCom,2,
695,Medidata Solutions,2,
696,"Meditab Software, Inc.",2,
697,Memorial Sloan Kettering Cancer Center,2,
698,"Meritus Analytics, A WPP company",2,
699,Mindtree,2,
700,Mondel?z International,2,
701,MonkeyData,2,
702,Moody's Analytics,2,
703,Morgan McKinley,2,
704,MultiChoice,2,
705,"Myers-Holum, Inc.",2,
706,Mystery Company,2,
707,NAV Advisors,2,
708,NBN Co Limited,2,
709,NYU Langone Medical Center,2,
710,NYU Stern School of Business,2,
711,Nabler,2,
712,Nabler Web Solutions,2,
713,Nanigans,2,
714,National University of Singapore,2,
715,Nationwide Insurance,2,
716,NativeX,2,
717,Natura,2,
718,Nestle S.A.,2,
719,NetApp,2,
720,New York Life Insurance Company,2,
721,Nextail,2,
722,Nordea,2,
723,North Carolina State University,2,
724,Northrop Grumman Corporation,2,
725,Novartis,2,
726,Nube Technologies,2,
727,Nuffield Health,2,
728,Numeric Analytics,2,
729,Numeric Recruiting and Staffing,2,
730,OMICS Group International Conferences,2,
731,Office Depot,2,
732,Ogilvy & Mather,2,
733,"Omnicom Media Group, UK",2,
734,Ooredoo Tunisie,2,
735,Open Search Network Ltd,2,
736,OpenX,2,
737,Opportunity Space,2,
738,OptumInsight,2,
739,Osakidetza,2,
740,PMI,2,
741,PNC Financial Services,2,
742,"PSE - Produtos e Serviços de Estatística, Lda",2,
743,Packt Publishing,2,
744,Pandora,2,
745,"PayScale, Inc.",2,
746,Pentaho,2,
747,PeopleDoc Inc.,2,
748,PepsiCo,2,
749,Perficient,2,
750,Persistent Systems,2,
751,Philips,2,
752,Pinsight Media+ (powered by Sprint),2,
753,Pinterest,2,
754,Pitney Bowes,2,
755,Pitney Bowes Software,2,
756,"Pivotal, Inc.",2,
757,Placed,2,
758,PointPredictive Inc.,2,
759,Pointmarc,2,
760,Pontifical Catholic University of São Paulo,2,
761,Portugal Telecom,2,
762,Positive Bioscience,2,
763,Praedx,2,
764,"Precision Health Economics, LLC",2,
765,Primatics Financial,2,
766,Prince Sultan University,2,
767,Private Maths/Physics Tutor,2,
768,Progreso Financiero,2,
769,Progressive Insurance,2,
770,Proofpoint,2,
771,Q-Lytics Consulting Inc.,2,
772,Quadrant 4 System Corporation,2,
773,QueBIT Consulting,2,
774,Quick Bridge Funding,2,
775,RAND Corporation,2,
776,RAV Norge AS,2,
777,RCI Recruitment Solutions,2,
778,RMS,2,
779,RN Financial Corporation,2,
780,"RStudio, Inc.",2,
781,Rakuten Marketing,2,
782,Rapid Insight Inc.,2,
783,Raytheon,2,
784,Razorfish,2,
785,RealXchange (TecBank),2,
786,Recreational Equipment Inc.,2,
787,Recro-net,2,
788,Recruiting Bandwidth,2,
789,"Recruiting Toolbox, Inc.",2,
790,Redfin,2,
791,Reliant Energy,2,
792,Retail Rocket,2,
793,Reunify,2,
794,Rinalytics Advisors,2,
795,"Rising Media, Inc.",2,
796,Roche Molecular Systems,2,
797,Rocket Internet AG,2,
798,Rubicon Project,2,
799,Russell Investments,2,
800,Rutgers Business School,2,
801,SD2 Labs,2,
802,SPEC INDIA,2,
803,"Saama Technologies, Inc.",2,
804,Salesforce Marketing Cloud,2,
805,"Salesify, Inc.",2,
806,San Diego Supercomputer Center,2,
807,Sanofi,2,
808,Sanofi Pasteur,2,
809,Sanoma,2,
810,SapientNitro,2,
811,Saxon Global Inc.,2,
812,Scanalytics Inc.,2,
813,Scotiabank,2,
814,Scry Health,2,
815,Seagate Technology,2,
816,Secours Islamique France,2,
817,Security Weaver,2,
818,Sfrent.net,2,
819,Shell,2,
820,Shop Direct,2,
821,SiSense,2,
822,Sidra Medical and Research Center,2,
823,Siemens,2,
824,Simon Fraser University,2,
825,Sirius XM Radio Inc.,2,
826,Skytree - The Machine Learning Company®,2,
827,Smart Data Enterprises,2,
828,SmartZip,2,
829,Snowflake Computing,2,
830,Social Network Analysis,2,
831,SoftNet Solutions,2,
832,SoftServe,2,
833,"Solebrity, Inc.",2,
834,Sony Network Entertainment Int'l (SNEI),2,
835,Sopra Group,2,
836,Southern California Edison,2,
837,SpaceCurve,2,
838,Splice Machine,2,
839,Spring Professional,2,
840,Springleaf Financial Services,2,
841,Staffing Technologies,2,
842,StaffingForce,2,
843,StarHub,2,
844,Starbucks Coffee Company,2,
845,StatSoft,2,
846,State Farm,2,
847,Statistics.com The Institute for Statistics Education,2,
