"","CITY","STABBR","ZIP","LONGITUDE","LATITUDE","INSTNM","TUITFTE","INEXPFTE","AVGFACSAL","faminc","COSTT4_A","COSTT4_P","TUITIONFEE_IN","TUITIONFEE_OUT","TUITIONFEE_PROG","NPT4_PUB","NPT4_PRIV","HIGHDEG","PREDDEG","sch_deg","CONTROL","RELAFFIL","HBCU","PBI","ANNHI","TRIBAL","AANAPII","HSI","NANTI","ADM_RATE_ALL","ADM_RATE","SATMT75","ACTMT75","UGDS","female","married","pct_white","pct_black","pct_asian","pct_hispanic","pct_born_us","poverty_rate","DEBT_MDN","GRAD_DEBT_MDN","CDR3"
"1124","Chicago","IL","60617-4303",-87.5513,41.7314,"Cannella School of Hair Design-Chicago",7316,7494,NA,11451.38,"NULL","11820","NULL","NULL","12340","NULL","6961",1,1,"1",3,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","84","0.94999998807907",0.17000000178813,22.7999992370605,"67.1100006103515","0.74000000953674","14.1700000762939","91.5299987792968","18.0599994659423",3500,"3500",20.7
"2713","Brookville","NY","11548-1300",-73.5933,40.82,"LIU Post",20243,10405,10748,57894.33,"44701","NULL","34070","34070","NULL","NULL","25613",4,3,"3",2,"NULL","0","0","0","0","0","0","0","0.837","0.8067","540","24","4067","0.68999999761581",0.07000000029802,58.6399993896484,"24.0200004577636","6.38999986648559","15.7799997329711","71.4300003051757","11.9200000762939",18325.5,"25000",9.5
"47","Birmingham","AL","35229-2240",-86.7909,33.4646,"Samford University",17548,14054,8261,92968.08,"38835","NULL","26328","26328","NULL","NULL","24093",4,3,"3",2,"54","0","0","0","0","0","0","0","0.7697","0.7697","610","27","2995","0.64999997615814",0.05999999865889,80.9100036621093,"14.6999998092651","1.69000005722045","3.25","94.6399993896484","7.09999990463257",20000,"23236",1.3
"1979","East Lansing","MI","48824-1300",-84.4735,42.7257,"Michigan State University-College of Law",24120,16304,10166,NA,"NULL","NULL","NULL","NULL","NULL","NULL","NULL",4,4,"3",2,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed",NA,NA,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",NA,"NULL",2.9
"5597","Wilmington","DE","19801-3007",-75.5498,39.7419,"Delaware College of Art and Design",13507,4640,5368,71064,"35381","NULL","22390","22390","NULL","NULL","27132",2,2,"2",2,"NULL","0","0","0","0","0","0","0","0.5804","0.5804","NULL","NULL","194","0.62999999523162",0.05000000074505,71.3199996948242,"19.8500003814697","4.03999996185302","6.15999984741211","88.1100006103515","6.09999990463257",12000,"12000",16.6
"4869","Stockton","CA","95210",-121.288,38.0036,"Heald College-Stockton",13938,2116,4199,29814.52,"22157","NULL","13620","13620","NULL","NULL","16303",2,2,"2",3,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","1409","0.75",0.18000000715255,55.9599990844726,"7.13000011444091","12.8000001907348","31.0300006866455","78.25","14.9799995422363",7834.5,"11250",10.1
"3197","Columbus","OH","43213",-82.8776,39.9761,"Ohio State College of Barber Styling",82,1468,NA,13045.35,"NULL","14219","NULL","NULL","12510","NULL","9499",1,1,"1",3,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","142","0.09000000357627",0.20000000298023,63.4000015258789,"30.9400005340576","1.70000004768371","2.33999991416931","94.6600036621093","12.6999998092651",5750,"5750",41.1
"2147","Northfield","MN","55057-1098",-93.1836,44.4629,"St Olaf College",22480,16054,8527,118248.44,"50550","NULL","40700","40700","NULL","NULL","24227",3,3,"3",2,"39","0","0","0","0","0","0","0","0.5919","0.5919","710","31","3079","0.56999999284744",0,89.6600036621093,"3.28999996185302","2.94000005722045","3.91000008583068","93.3000030517578","4.48999977111816",25000,"26531",1.6
"5326","Lewiston","ME","04240",-70.2106,44.0889,"Mr Bernard's School of Hair Fashion Inc",11960,5905,NA,17429.07,"NULL","16168","NULL","NULL","12400","NULL","12035",1,1,"1",3,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","132","0.95999997854232",0.23000000417232,96.6900024414062,"0.74000000953674","0.61000001430511","1","96.5599975585937","8.64000034332275",9833,"16080",22.3
"5364","Van Wert","OH","45891",-84.5728,40.8802,"Vantage Career Center",5800,8253,NA,21500.42,"NULL","NULL","NULL","NULL","620","NULL","NULL",1,1,"1",1,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","62","0.83999997377395",0.33000001311302,97,"0.75999999046325","0.23000000417232","2.17000007629394","98.9800033569336","4.65999984741211",NA,"NULL",0
"162","Paragould","AR","72450",-90.5848,36.0662,"Crowley's Ridge College",8396,3001,3401,48331.34,"18790","NULL","10900","10900","NULL","NULL","10192",3,2,"2",2,"74","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","153","0.37000000476837",0.03999999910593,89.6900024414062,"7.26999998092651","0.47999998927116","2.28999996185302","97.8300018310547","11.6000003814697",7848,"13350",22.6
"4565","Dallas","TX","75229-5668",-96.8936,32.8803,"Parker University",26086,12565,6150,38270.81,"NULL","NULL","15230","15230","NULL","NULL","NULL",4,3,"3",2,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","157","0.31999999284744",0.34000000357627,75.8600006103515,"10.7200002670288","4.21000003814697","14.039999961853","87.620002746582","8.35000038146972",6365,"7812",7.6
"6548","Naples","FL","34108",-81.792,26.2683,"Wolford College",22636,11910,14361,NA,"NULL","NULL","NULL","NULL","NULL","NULL","NULL",4,4,"3",3,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL",NA,NA,"NULL","NULL","NULL","NULL","NULL",NA,"NULL",0
"7198","Macon","GA","31206-3180",-83.6802,32.8139,"Virginia College-Macon",22058,7475,3240,NA,"16069","NULL","13240","13240","NULL","NULL","11660",2,1,"2",3,"NULL","0","0","0","0","0","0","0","1","NULL","NULL","NULL","451","NULL",NA,NA,"NULL","NULL","NULL","NULL","NULL",12380.5,"19000",22.2
"6102","Tallahassee","FL","32304",-84.3411,30.4447,"Flagler College-Tallahassee",5773,3233,5097,72203.48,"NULL","NULL","NULL","NULL","NULL","NULL","NULL",3,3,"3",2,"NULL","0","0","0","0","0","0","0","0.4987","NULL","NULL","NULL","469","0.63999998569488",0.07999999821186,82.9499969482422,"11.6700000762939","1.88999998569488","5.53999996185302","91.1699981689453","7.17000007629394",16500,"23638",6
"3627","Reading","PA","19603-1706",-75.9347,40.3343,"Reading Area Community College",5298,6120,7286,32139.01,"14208","NULL","4650","11250","NULL","10369","NULL",2,2,"2",1,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","4028","0.6700000166893",0.20999999344348,79.0400009155273,"7.03000020980835","1.25999999046325","17.5","88.1699981689453","11.3100004196167",9250,"14784",26.4
"6868","Sioux Falls","SD","57108",-96.7866,43.4989,"Globe University-Sioux Falls",18753,4545,3439,NA,"28338","NULL","14040","14040","NULL","NULL","23540",3,2,"2",3,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","165","NULL",NA,NA,"NULL","NULL","NULL","NULL","NULL",16768,"27000",22.4
"4255","Wise","VA","24293-4400",-82.5587,36.9715,"The University of Virginia's College at Wise",6013,7137,6928,56884.88,"18365","NULL","8509","23565","NULL","8843","NULL",3,3,"3",1,"NULL","0","0","0","0","0","0","0","0.7449","0.7449","520","23","1585","0.51999998092651",0.09000000357627,90.0800018310547,"6.63999986648559","1.23000001907348","2.22000002861022","96.5699996948242","11.869999885559",12611,"20700",12.3
"4182","Clifton Forge","VA","24422-1000",-79.8518,37.8125,"Dabney S Lancaster Community College",2500,5519,6267,33175.46,"8714","NULL","3180","7850","NULL","4394","NULL",2,2,"2",1,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","787","0.68000000715255",0.23999999463558,91.7900009155273,"6.28999996185302","0.46000000834465","0.79000002145767","97.8600006103515","7.80000019073486",5500,"9500",15.6
"264","Los Angeles","CA","90032",-118.169,34.0669,"California State University-Los Angeles",4287,6569,8767,27649.23,"14747","NULL","6344","17504","NULL","5431","NULL",4,3,"3",1,"NULL","0","0","0","0","0","0","0","0.6752","0.6752","510","22","19525","0.63999998569488",0.10999999940395,42.6899986267089,"8.72999954223632","14.8800001144409","52.0499992370605","58.1300010681152","17.5100002288818",12000.5,"14125",7.6
"5885","Suffern","NY","10901",-74.0899,41.1239,"Yeshiva Shaarei Torah of Rockland",6264,6645,2563,25146.93,"26750","NULL","9850","9850","NULL","NULL","18750",3,3,"3",2,"80","0","0","0","0","0","0","0","1","1","NULL","NULL","116","0",0,60.7299995422363,"28.6499996185302","5.59000015258789","5.59000015258789","72.9400024414062","12.1599998474121",NA,"NULL",0
"5288","Pittsburgh","PA","15205",-80.0414,40.4258,"ITT Technical Institute-Pittsburgh",21730,4553,5503,35306.53,"26505","NULL","18048","18048","NULL","NULL","22696",2,2,"2",3,"NULL","0","0","0","0","0","0","0","0.8388","0.8571","NULL","NULL","224","0.18999999761581",0.15000000596046,87.8399963378906,"9.71000003814697","0.72000002861022","1.32000005245208","97.2099990844726","9.30000019073486",14656.5,"25833.5",22.4
"7151","Granger","IN","46530",-86.1743,41.7203,"Ross Medical Education Center-Granger",4693,1303,NA,NA,"NULL","22409","NULL","NULL","15680","NULL","18777",1,1,"1",3,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","174","NULL",NA,NA,"NULL","NULL","NULL","NULL","NULL",9500,"9500",17.7
"5295","Waterbury","CT","06706",-73.0359,41.5496,"Industrial Management Training Institute",8922,6862,NA,50243.67,"NULL","30596","NULL","NULL","15750","NULL","26549",1,1,"1",3,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","117","0.00999999977648",0.2199999988079,72.0100021362304,"14.0900001525878","3.75","14.3100004196167","79.4000015258789","9.21000003814697",7067,"7389",9.6
"6966","Irving","TX","75038",-96.9766,32.8324,"Advanced Beauty College",5734,737,NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","NULL",1,1,"1",3,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","60","NULL",NA,NA,"NULL","NULL","NULL","NULL","NULL",NA,"NULL",0
"2235","Conception","MO","64433-0502",-94.6828,40.2404,"Conception Seminary College",18858,6645,3933,49013.44,"30766","NULL","18436","18436","NULL","NULL","27549",3,3,"3",2,"30","0","0","0","0","0","0","0","0.9524","0.9524","NULL","26","90","0",0,88.9800033569336,"4.13000011444091","0.97000002861022","4.80999994277954","96.5500030517578","8.02000045776367",NA,"PrivacySuppressed",7.3
"4948","Mayaguez","PR","00680",-67.1344,18.2005,"Institucion Chaviano de Mayaguez",4251,1725,NA,4423.94,"NULL","13039","NULL","NULL","6225","NULL","8563",1,1,"1",3,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","82","0.81999999284744",0.34999999403953,84.7900009155273,"4.92000007629394","0.25","99.0500030517578","PrivacySuppressed","45.0200004577636",NA,"NULL",0
"6777","Los Angeles","CA","90024",-118.4461,34.0593,"The Chicago School of Professional Psychology at Westwood",26983,7374,5943,NA,"NULL","NULL","NULL","NULL","NULL","NULL","NULL",4,4,"3",2,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL",NA,NA,"NULL","NULL","NULL","NULL","NULL",NA,"NULL",4.8
"7099","Grand Rapids","MI","49503",-85.6823,42.976,"Compass College of Cinematic Arts",10058,2038,4140,NA,"29928","NULL","13915","13915","NULL","NULL","27133",2,2,"2",2,"NULL","0","0","0","0","0","0","0","0.9815","0.9815","NULL","NULL","80","NULL",NA,NA,"NULL","NULL","NULL","NULL","NULL",10697,"10928",0
"7277","Tucson","AZ","85711-2328",-110.8837,32.2289,"Pure Aesthetics",16677,3940,NA,NA,"NULL","15719","NULL","NULL","11050","NULL","12862",1,1,"1",3,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","37","NULL",NA,NA,"NULL","NULL","NULL","NULL","NULL",6333,"6333",0
"7301","Colorado Springs","CO","80906-4944",-104.8086,38.7786,"Colorado Academy of Veterinary Technology",7252,2006,NA,NA,"23319","NULL","15223","15223","NULL","NULL","21211",2,2,"2",3,"NULL","0","0","0","0","0","0","0","0.8","0.8","NULL","NULL","86","NULL",NA,NA,"NULL","NULL","NULL","NULL","NULL",9500,"PrivacySuppressed",0
"5532","Charlottesville","VA","22901",-78.4958,38.0555,"Virginia School of Massage",8895,5415,NA,29484.2,"NULL","20789","NULL","NULL","12204","NULL","19056",1,1,"1",3,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","56","0.82999998331069",0.23999999463558,82.7699966430664,"13.2600002288818","1.58000004291534","2.26999998092651","94.9000015258789","7.26999998092651",7600,"8037",29.4
"4415","Appleton","WI","54912-2277",-88.4589,44.2832,"Fox Valley Technical College",2192,13122,8664,47104.43,"11361","NULL","4152","5985","NULL","8181","NULL",2,1,"1",1,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","7027","0.54000002145767",0.18999999761581,94.8000030517578,"0.86000001430511","1.75","1.95000004768371","96.870002746582","3.95000004768371",6458.5,"10885",15.9
"4339","College Place","WA","99324-1198",-118.3898,46.047,"Walla Walla University",17298,10596,4638,72764.77,"34747","NULL","25377","25377","NULL","NULL","21947",4,3,"3",2,"95","0","0","0","0","0","0","0","0.9286","0.9286","600","26","1646","0.52999997138977",0.10000000149011,82.9899978637695,"2.72000002861022","2.9300000667572","12.1400003433227","89.370002746582","8.6899995803833",22000,"28250",4.1
"1694","New Orleans","LA","70126",-90.0444,30.0267,"Southern University at New Orleans",8167,10302,5830,19767.87,"10889","NULL","4911","4911","NULL","8474","NULL",4,3,"3",1,"NULL","1","0","0","0","0","0","0","0.4888","0.4888","640","19","1782","0.68999999761581",0.10000000149011,35.1100006103515,"58.7400016784668","2.56999993324279","4.90000009536743","94.0500030517578","19.7299995422363",18442,"27269",15.1
"2856","Rochester","NY","14607",-77.5749,43.1471,"Talmudical Institute of Upstate New York",25015,16889,2500,NA,"13000","NULL","5000","5000","NULL","NULL","6322",4,3,"3",2,"NULL","0","0","0","0","0","0","0","1","1","NULL","NULL","17","PrivacySuppressed",NA,NA,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",NA,"NULL",0
"5017","Loveland","CO","80538",-105.0802,40.5312,"Cheeks International Academy of Beauty Culture-Fort Collins",4116,6710,NA,24980.67,"NULL","11604","NULL","NULL","16100","NULL","7574",1,1,"1",3,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","34","0.95999997854232",0.27000001072883,84.4800033569336,"1.19000005722045","1.14999997615814","20.0499992370605","92.0199966430664","8.52999973297119",6333,"8222.5",13.1
"1493","Lenexa","KS","66215",-94.7343,38.9529,"Brown Mackie College-Kansas City",10975,3710,4707,32918.29,"23573","NULL","12114","12114","NULL","NULL","19492",2,2,"2",3,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","486","0.73000001907348",0.28000000119209,78.8399963378906,"9.23999977111816","2.9300000667572","11.7200002670288","90.5","7.84999990463257",9671,"18809.5",19.2
"4635","Knoxville","TN","37919",-84.1211,35.9055,"Paul Mitchell the School-Knoxville",7790,2687,NA,20053.38,"NULL","18394","NULL","NULL","16300","NULL","15079",1,1,"1",3,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","207","0.98000001907348",0.10000000149011,93.8399963378906,"2.75999999046325","0.52999997138977","1.45000004768371","97.9400024414062","8.36999988555908",10754.5,"16500",0
"1232","Chicago","IL","60603",-87.6248,41.8798,"National Louis University",13963,5779,6104,45871.25,"30180","NULL","15915","15915","NULL","NULL","19668",4,3,"3",2,"NULL","0","0","0","0","0","0","0","0.9881","0.9881","NULL","NULL","1393","0.80000001192092",0.34000000357627,54.9399986267089,"30.9599990844726","4.09000015258789","15.579999923706","83.620002746582","10.829999923706",16378,"19500",3.8
"3108","Toledo","OH","43623",-83.6299,41.6931,"Davis College",9935,14465,3498,28094.26,"29961","NULL","14130","14130","NULL","NULL","24871",2,2,"2",3,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","217","0.83999997377395",0.2199999988079,72.9100036621093,"21.8199996948242","1.03999996185302","4.30999994277954","96.6800003051758","12.5699996948242",14250,"26332",25.2
"3673","Washington","PA","15301",-80.2471,40.1836,"Washington Hospital School of Nursing",977,7715,NA,51644.42,"24119","NULL","NULL","NULL","NULL","NULL","19169",1,1,"1",2,"NULL","0","0","0","0","0","0","0","0.25","0.25","NULL","NULL","76","0.81000000238418",0.33000001311302,95.0699996948242,"3.33999991416931","0.43000000715255","0.69999998807907","98.2799987792969","8.89999961853027",17750,"20493.5",17.6
"2590","Elmira","NY","14905-1676",-76.8284,42.101,"Arnot Ogden Medical Center",6462,10541,NA,41527.59,"NULL","18064","NULL","NULL","29945","NULL","12580",1,1,"1",2,"NULL","0","0","0","0","0","0","0","0.5625","0.5625","NULL","NULL","79","0.87999999523162",0.31999999284744,94.0999984741211,"3.05999994277954","0.86000001430511","1.16999995708465","97.3600006103515","9.06999969482422",12000,"19500",3.2
"4495","Bayamon","PR","00960-0493",-66.1907,18.3406,"Caribbean University-Bayamon",13956,4177,2991,15001.51,"8006","NULL","4850","4850","NULL","NULL","2084",4,3,"3",2,"NULL","0","0","0","0","0","1","0","NULL","NULL","NULL","NULL","1572","0.57999998331069",0.15999999642372,81.8199996948242,"7.78999996185302","0.15999999642372","99.0599975585937","91.3499984741211","46.1699981689453",6750,"9000",29.6
"3598","Bristol","PA","19007",-74.8689,40.0982,"Pennco Tech-Bristol",14136,4144,4676,41287.58,"NULL","20241","NULL","NULL","21095","NULL","14967",2,1,"1",3,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","551","0.10999999940395",0.14000000059604,71.5400009155273,"19.8899993896484","3.14000010490417","6.65000009536743","89.5299987792968","8.89999961853027",9496,"9500",19
"6974","Port Hadlock","WA","98339",-122.7528,48.034,"Northwest School of Wooden Boat Building",10675,9892,4188,NA,"24525","NULL","13050","13050","NULL","NULL","18824",2,2,"2",2,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","52","NULL",NA,NA,"NULL","NULL","NULL","NULL","NULL",NA,"13000",8
