index,movie,group,html_color, r,g,b, black, gray,silver, white, maroon, red, olive, yellow, green, lime, teal, aqua, navy, blue, orange, purple, fuchsia, brown
animation_0.jpg1,animation_0,1,#c19535,193,149,53,84.57589967,56.04441479,56.6497751,65.62860202,58.82607854,75.04449171,23.49622962,59.04658167,61.51661263,100.2075112,74.24448685,92.04259845,136.0228785,180.6345178,31.57692797,110.3816981,147.2111351,35.8002767
animation_0.jpg2,animation_0,2,#293966,41,57,102,38.75371791,41.39126965,60.68440148,80.85722145,77.39534938,122.818411,91.92158327,145.8173467,101.1772317,159.4018463,48.47108143,88.37573384,54.47188013,106.5005845,119.5602461,51.23790796,101.7214143,72.85925801
animation_0.jpg3,animation_0,3,#93928d,147,146,141,60.5678454,7.475265253,17.43510382,39.60020359,69.51714525,103.5026259,55.97063134,100.9578779,70.97437397,120.5588735,32.78903108,58.98357429,95.52159342,139.2828501,81.31758694,77.63354273,117.5202358,52.16404594
animation_0.jpg4,animation_0,4,#eed248,238,210,72,108.8338982,75.34660693,69.10174647,70.54116813,84.80938034,90.4924025,35.52747326,33.33833728,63.21123539,82.674304,88.42616714,93.58795518,160.0277596,202.2794028,32.0210887,134.5106908,167.2205732,62.77940389
animation_0.jpg5,animation_0,5,#dcdcdc,220,220,220,87.76087461,34.17587437,10.0564743,12.23912576,87.34543131,110.106182,68.32499269,97.3656707,82.99512353,119.7811562,49.64366258,50.22829457,109.7072342,144.8469264,83.49387837,90.3609123,118.7561554,70.06091005
animation_0.jpg6,animation_0,6,#191219,25,18,25,8.745738848,47.54978937,71.54328983,93.77997695,62.887911,113.3443345,77.44714671,136.086883,87.3451999,149.6850644,53.95699581,100.4523382,74.93036674,130.7643039,108.8583377,67.54922522,122.1511775,58.35753291
animation_0.jpg7,animation_0,7,#eeb109,238,177,9,109.0624875,81.47332208,78.3956562,82.01168354,74.23902768,73.93446752,39.54451567,41.98046143,74.26070935,97.54709779,98.6343634,109.9553077,159.9781619,202.5800938,13.54129376,132.2910684,164.6927508,55.43763374
animation_0.jpg8,animation_0,8,#f9d70d,249,215,13,121.5326338,91.56347223,85.92668653,86.56459537,93.21876371,92.53973917,45.69804303,22.2199637,71.48932263,81.84751606,104.2147086,108.7847627,174.9387724,217.3669045,31.20284008,148.5320992,180.5095744,72.89078232
animation_0.jpg9,animation_0,9,#76553a,118,85,58,45.47544107,27.5818336,45.23829379,65.34430798,43.65104253,84.98172789,44.3251505,98.85376356,68.6067765,124.5399049,49.80145747,85.72041558,97.12465838,146.4280797,69.49642178,76.02778759,122.1733392,25.76171715
animation_0.jpg10,animation_0,10,#e7cc8c,231,204,140,90.17589943,45.97397074,35.76205556,39.27099345,74.47463228,90.56128478,40.07239399,64.73669256,65.60619052,99.27712862,63.23070018,69.96795253,130.7745815,171.0039675,50.04244642,106.6852366,138.8570834,52.56751271
