Made 0ft jumper 11:48 in 1st Qtr.,4008280962,true,Bradley Beal,6580,1,h,25,88,400828096
Made 20ft jumper 11:30 in 1st Qtr.,4008280963,true,Monta Ellis,2751,1,a,12,21,400828096
Made 23ft 3-pointer 11:22 in 1st Qtr.,4008280964,true,Otto Porter Jr.,2594922,1,h,48,87,400828096
Made 20ft jumper 11:12 in 1st Qtr.,4008280965,true,Paul George,4251,1,a,44,11,400828096
Miss 22ft jumper 10:49 in 1st Qtr.,4008280966,false,Otto Porter Jr.,2594922,1,h,47,86,400828096
Made 25ft 3-pointer 10:34 in 1st Qtr.,4008280969,true,C.J. Miles,2778,1,a,27,31,400828096
Miss 19ft jumper 10:18 in 1st Qtr.,40082809610,false,Otto Porter Jr.,2594922,1,h,7,81,400828096
Made 25ft 3-pointer 10:10 in 1st Qtr.,40082809612,true,Paul George,4251,1,a,15,29,400828096
Made 27ft 3-pointer 9:59 in 1st Qtr.,40082809613,true,John Wall,4237,1,h,34,63,400828096
Made 0ft jumper 9:34 in 1st Qtr.,40082809614,true,Paul George,4251,1,a,25,6,400828096
Made 2ft jumper 9:21 in 1st Qtr.,40082809615,true,Bradley Beal,6580,1,h,26,86,400828096
Made 28ft 3-pointer 8:56 in 1st Qtr.,40082809618,true,C.J. Miles,2778,1,a,12,31,400828096
Made 25ft 3-pointer 8:44 in 1st Qtr.,40082809619,true,Bradley Beal,6580,1,h,46,75,400828096
Made 13ft jumper 8:33 in 1st Qtr.,40082809620,true,Paul George,4251,1,a,38,7,400828096
Miss 9ft jumper 7:58 in 1st Qtr.,40082809628,false,Bradley Beal,6580,1,h,31,81,400828096
Miss 1ft jumper 7:52 in 1st Qtr.,40082809630,false,Marcin Gortat,2758,1,h,26,87,400828096
Made 27ft 3-pointer 7:35 in 1st Qtr.,40082809634,true,C.J. Miles,2778,1,a,9,28,400828096
Miss 13ft jumper 7:16 in 1st Qtr.,40082809635,false,Marcin Gortat,2758,1,h,38,86,400828096
Miss 20ft jumper 7:05 in 1st Qtr.,40082809638,false,John Wall,4237,1,h,20,69,400828096
Made 0ft jumper 6:54 in 1st Qtr.,40082809641,true,Marcin Gortat,2758,1,h,25,88,400828096
Made 25ft 3-pointer 6:33 in 1st Qtr.,40082809643,true,John Wall,4237,1,h,44,72,400828096
Made 25ft 3-pointer 6:18 in 1st Qtr.,40082809646,true,C.J. Miles,2778,1,a,8,24,400828096
Miss 20ft jumper 5:54 in 1st Qtr.,40082809647,false,Otto Porter Jr.,2594922,1,h,40,75,400828096
Miss 3ft jumper 5:41 in 1st Qtr.,40082809649,false,Ian Mahinmi,2774,1,a,22,5,400828096
Made 19ft jumper 5:28 in 1st Qtr.,40082809651,true,Bradley Beal,6580,1,h,40,77,400828096
Miss 19ft jumper 5:15 in 1st Qtr.,40082809652,false,C.J. Miles,2778,1,a,17,23,400828096
Miss 28ft jumper 5:05 in 1st Qtr.,40082809654,false,John Wall,4237,1,h,44,68,400828096
Made 3ft jumper 4:48 in 1st Qtr.,40082809656,true,Ian Mahinmi,2774,1,a,23,8,400828096
Miss 28ft jumper 4:26 in 1st Qtr.,40082809657,false,Bradley Beal,6580,1,h,7,67,400828096
Miss 20ft jumper 4:15 in 1st Qtr.,40082809661,false,John Wall,4237,1,h,37,72,400828096
Made 27ft 3-pointer 4:07 in 1st Qtr.,40082809663,true,Paul George,4251,1,a,39,29,400828096
Miss 26ft jumper 3:53 in 1st Qtr.,40082809664,false,Bradley Beal,6580,1,h,41,68,400828096
