"","X","user","review"
"1",0,"Karen Russo","I was soooo disappointed! I'd looked forward to reading this book for weeks -- then finally got it, and ... It was so bad I actually returned it, something I've done so rarely I can't even remember the last time. I guess it was all the build-up -- it sounded so great, then the disappointment was so profound. I didn't finish it -- maybe read half, but when I realized that I simply didn't care what happened to any of them, I just quit. (Bad enough I paid $$$ for it. I didn't need to pay twice, by wasting time on it too.) In sum: very very very slow start. Confusing. Pointless. Just too esoteric for my taste. And as compared to 'Gone Girl'? Honestly, I don't see much of a comparison. I loved 'Gone Girl' -- read it twice, in fact, and liked it so much I don't want to see the film. The book was too good to ruin. "
"2",1,"Thays Ch","There was no thriller, I disliked all of the characters. I did not enjoy reading it. "
"4",3,"Lucy Ramirez","This book was extremely dark. I understand suspense but the time frame changed from chapter to chapter. I wondered about halfway why I was reading it. I wondered the same when it was over. "
"6",5,"Ronald Fitch","What an awful, awful book."
"11",10,"Amy Trostle","Depressing..... The whole book makes you feel as if a dementor is lurking nearby just waiting to suck out your soul."
"12",11,"Harriet Lobascio","Why do I feel compelled to finish a book? Should have stopped and put it back on a shelf. Wimpy women with no direction."
"13",12,"Liz Harmath","I tried, I really did. The first 60 pages practically killed me, but after that it became somewhat interesting and I was able to get to the end. But I had to really work at it. About 75% of the way through, I started wondering how I WANTED it to end and couldn't come up with any satisfying options. Lots of twists and turns to keep you guessing until the end, but I just don't think it was worth my time. Ugly, unhappy people doing ugly things. There's really no bright spot here."
"14",13,"Miechele Summers","All of the characters, with the exception of the main characters roommate, were pathetic, self-centered people that I would never want to know. I was hoping for twists and turns in the plot, including a surprise ending; however the villain could be spotted 100 pages away. "
"15",14,"Jon Lyon","didn't live up to the hype...not even close"
"17",16,"Erin Kasper","Hated it. Read for a book club meeting, started and stopped so many times I gave up and returned to the library. Ugh. The main character wasn't likeable, the story itself was repetitive in her actions and loss of memory, and honestly I was hoping to just get through it."
"18",17,"Leigh Gaston","Such a complete downer. Couldn't even finish it. "
"20",19,"Sue Hatchett","I would give this less than one star if possible. Not one character in this story was worth rooting for. "
"22",21,"Laiel"," There is so much fuss about this book from amazon & goodreads-= with soaring reviews and recommendations. I had my hopes up thinking that I finally found a good book to read. To my dismay, every chapter was a torture. Such a waste of time. The characters are all one dimensional and the plot itself was not interesting nor intriguing.God, I never hated a book as much as this one. At least, ""Gone Girl"" was a page turner and had better writing. I can at least say that the quality of popular literature nowadays is going down the drain."
"23",22,"Sandi","I wish there was a minus rating. This book.is dire - don't bother with it."
"24",23,"Chrissy","Oh ugh. Don't waste your time. This book is depressing and all characters are completely unsympathetic without any redeeming qualities. It's a quick read but totally unsatisfying in the end. "
"25",24,"Ken Smith","I mostly used this book to help me fall asleep. The female characters were excessively emotional and incapable. I honestly didn't know what was going on and was okay with that. But I did finish it for whatever it's worth. "
"27",26,"Paul","I absolutely hated this book. It was so slow moving, and the main character is completely unlikeable. The ""twist ending"" did not do enough to satisfy slogging through the first 8 hours of reading this."
"28",27,"Lucaslu1626","Actually it's a pretty mediocre thriller, I have no idea why this book's been so popular."
"29",28,"Sandy","I guess I'll just stick with good ol' Agatha Christie."
