,user,Unnamed: 0,X,review
4,Amany Shams,3,2,جابتلى شلل طيب روايه فيه ايحاءات جنسيه كتير وعجوز عنده ميول جنسيه للمراهقات ماشى هنعديها لكن ليه تتشهر كده وكمان تيبقى من احسن الروايات ايه المغزى يعنى منها 
4,Catherine Morozova,4,3,"Я не понимаю, зачем читала эту книгу и зачем дочитала ее."
4,Annette,5,4,"I read about 75 pages and had to quit on this one. It's just too much when you have a 12 year old daughter to read about a dirty old man trying to romance a 12 year old. I just couldn't do it, classic or not."
4,AndreaZ,9,8,Disturbing. Same review for Love in the Time of Cholera. Why do people like these books about perverted old men sexually molesting teenagers? 
4,Casey,11,10,I just don't get it. Why was this so popular? I could barely stomach it and a quit 1/2 way through. 
4,Matthew Jackson,16,15,My review is on my blog:https://matthewejackson.wordpress.com...
4,GM,23,22,لأنها مبتذلة، وشاذة، وحقيقية.. اكتسبت شهرة واسعة في العالم، لا أجد تفسيراً غير هذا !!! أشعر أنني خُدعت، أعتقدت أنها قصة حب بريئة بين شخصين يعوق اكتمالها تباعد العمر. قرأت شيء من هذا القبيل في أحد المواقع. ومع ذلك أريد أن أوضح إنني لست من عشاق القصص والروايات الرومانسية لكني اخترت هذه لمعرفة التبعات التي ستؤول إليها القصة بسبب هذا العائق. كان تخميني خاطئ بالطبع، لم تكن الرواية كذلك بل تخطت الرومانسية للقرف. لم أتوقع أن تقع بين يدي رواية كهذه التي خرقت كل الخطوط والمبادئ والأعراف الإنسانية والدينية. أصابتني بالغثيان حيناً وأرعبتني حيناً آخر من شدة الإجرام في هذه الرواية.بإختصار تحكي قصة شاذ جنسي يحب الفتيات الصغيرات عموماً. يؤثر هذا الحيوان الطاعن في السن أن يشبع رغباته الجنسية مع طفلة في العاشرة من عمرها مثلاً على إمرأة ناضجة.ما يؤسفني حقاً هو استمرار نوع هذا المريض النفسي وعدم انقطاعه من مجتمعاتنا، فنجد أخبارهم تملأ الصحف؛ هذا هتك عرض طفلة ما، والآخر يتحرش بإبنته وغيرها من القصص التي يشيب لها شعر الرأس. أنهيتها بصعوبة بالغة لما فيها من لحظات باعثة للإشمئزاز والإنحطاط الخُلقي.وللتذكير: أنصح كل أم وأب له طفلـ/ ـة أن يوفر لهم سبل الحماية الممكنة تفادياً لحالات التحرش من الغرباء، ومن الخطر الكامن الأشد ضرراً من الغرباء وهم الأقرباء. حمى الله أبناء المسلمين والمسلمات من أي مكروه. ***نعم لا أنصح بها أحداً البتة.
4,Megan Ammer,24,23,"I admit that I went into this reading with expectations and a little bit of hesitation. I knew the basic plot and controversy surrounding the novel, but tried to keep an open mind in addition to sitting aside basic opinions in order to comprehend this particular story. Unfortunately, due to my moral integrity or frustration, or something of the sort, this novel was extremely hard for me to enjoy. It took a while to reach a halfway point and I found myself struggling to the end. I didn't take to any of the characters; I found myself annoyed with the lot. I guess I felt sympathies for Lolita, at least enough to recognize that her situation was sexual abuse and kidnapping and to want Humbert to pay for all crimes committed, but I didn't like anyone enough to care much for the story. I suspected that much, anyway, before starting the story, but had hopes that the writing or some underlying hatred for Humbert would change my mind. Neither shone through, however, and the writing was just as hard to muddle through as the content. The language used is so juvenile, with euphemisms for sexual terms that made the whole narrative overwhelmingly awful. The language was too puffed up in order to disguise his criminal activity and too much time was spent trying to convince me that Humbert wasn't such a bad guy. The author, Nabokov, presented depictions of Humbert as a caretaker, loving father figure, and regular guy that failed over and over again as he continued to be the villain of this story. No amount of money spent could erase his flawed personality or bad narration. The only thing that kept me reading the novel was his incarceration, and even that doesn't end in death. I felt cheated when Humbert lives and Lolita gets killed off after living in squalor because she was forced to depend on Humbert for a childhood that taught her nothing but made her the sole victim. I despise Humbert and this story is just nothing but a terrible confession of a pedophile. I tried so hard to use outside material to better understand the story but could not agree with anything scholars had to say and found labels like ""comedic tragedy"" or ""erotic"" almost harder to deal with than the actual novel. "
4,Vanesa,37,36,Sigo sin ver la parte sensual y sexual que describe el autor.
4,Chris Watson,38,37,"I understand this was a brilliant book, but, sorry it was just __too__ __bent__! I read it a long time ago and I _don't_ recommend it. He puts you _way_ too far into a perverts mind..."
4,Ellie [The Empress],43,42,"I may have been too young when I attempted to read this, we'll probably never know. Unless there is an apocalypses and shortage of books to read. "
4,Hope Rike,49,48,"I couldn't get into this book, I tried, I really did but in my opinion it's basically about a pervy pedifile"
4,Nathan Schwartz,52,51,"How, dear reader, shall I try and delve into the mysterious appeal of this overwrought compendium of strained metaphors and pretentious vocabulary into which I dove like a struggling child forced to learn to swim by an overbearing father, only to find the pool filled with tapioca. Such is the love for this sad little work that I am filled with trepidation at the chorus of disgust this review will surely evoke among simple minded readers; those who do not understand the harlequin longing for sentences that end without four or five parenthetical asides or a story that can be enjoyed without triggering the gag reflex on every page. Oh, the plot of the novel. The globules of gonadal glow. The grasping at the very the depths of distaste like a gynecologist feeling a tumor.Some, I have heard, justify subjecting unsuspecting diners at the binge and purge of a 1945 thesaurus strewn about this wretched story by suggesting the intent is satire. Someone may wish to remind them that satire is used to excuse everything, but in the end it excuses nothing, and subjecting me to this repellent story and then calling it satire is as clever as punching someone in the face and yelling “slug bug red”."
4,Rebecca Rogers,54,53,I could not even finish it; it was so disturbing. What made this book a classic? I get that the writing was great but the thoughts behind the writing are disgusting. As a relatively new mom I just couldn't deal with his description of his horrible manipulation of a mere 12 year old child. 
4,Ginger,59,58,Terrible--could not get through it!
4,محمد على عطية,64,63,قرأتها بدافع الفضول لأعرف لم هي (رائعة نابوكوف)...و لم أجد هذه الروعة!
4,Emarr99aol.com,65,64,"Who in their right minds likes Humbert and thinks Lolita is a temptress? And talking around saying something without actually saying it does not automatically define ""witty writing"" as I've seen in other reviews. It was a sick story. I can't remember one thing I liked about it. "
4,Koz,67,66,"There's no doubt Nabokov can write. But I couldn't deal with the content for many reasons. I wanted to appreciate it, but I couldn't muster it up."
4,Toreisii,68,67,"The fictional memoir of a pedophile who preys on a young girl named Lolita. I found this a tough novel to slog through with its overindulgence of French phrases (which I cannot read) and minutiae. It also left me emotionally numb, as if I had listened to a very long and boring lecture."
4,Hannah Glenn,70,69,"I know it's a metaphor but it made my skin crawl too much to get through the second chapter. I skimmed over the rest, thinking it might get better. It doesn't. "
4,Juna,76,75,read this for romantic love literature class at bryn mawr and hated it. its about pedophelia the whole class was like disgusted. i mean really i hate to be judgemental but its just hard to find the beauty in overt rampant abusive destructive pedophelia and child molestation. but i guess it was appropriate; it was 'romantic' in the sense that it describes a mutual seduction of two people
4,Kate Richardson,77,76,Not even well written enough to distract from the subject matter.
4,Priya,81,80,DNF . Too slow a pace for me to read it till the end . Took me a month to just get half the way . Giving up on it ! 
4,Isaac Cooper,82,81,"Lolita is the most pretentious book I've ever read. The characters are immensely unlikeable (even Dolores), the story is repetitive, and the pacing is so incredibly, mind-blowingly, preposterously slow it hurts my brain. But the way it's written! It's so beautifully written!No, it's not. Anyone can write flowery prose; they have a whole profession of it called 'poetry.' But even by poetry standards the flowery prose in Lolita is tedious, and overly-wordy. In fact, the prose becomes so obnoxious that it actually takes away from the story itself (not that there's much of one in the first place - a stepfather rapes his stepdaughter, there we go, that's the story). Almost every paragraph will be halted to draw a useless, pretentious metaphor for no other reason than because the author wants to. Prose is like cinematography in a movie. Sure, you can have really great cinematography, and it can be really pretty and well done and such ... but if it's not mixed in with an interesting, compelling story, and with conflicted and complex characters, it's just masturbation. In the end, that's what Lolita really is: artistic masturbation. There's no attempt to make us care about Humbert Humbert or Dolores Haze whatsoever. In fact, by the end of the novel, I despised both of these characters and wished them nothing but ill will. I'm not saying the subject matter is too transgressive, just that this particular novel handled it in the worst way possible. Flowery paragraph after flowery paragraph, I grew immensely bored with Lolita, and had no feeling other than annoyance to all the main characters in the story. Should I not feel the least bit of pity for poor Dolores Haze who is getting raped by her old stepfather every single night?Because in my mind, I really should feel empathetic to her, and maybe even toward Humbert Humbert, but I didn't, and I don't. I didn't feel anything. Nabakov's writing is so pretentious I can almost picture him standing over his typewriter, masturbating to it. "
4,Rejoyce,88,87,how did i manage not to realize what this book was about? horror. I am now scared to read any more russian authors. I feel dirty.
4,Melanie Chen,90,89,"After everything I had heard about this book, I was really excited to sink my teeth into it (hot chocolate, blanket, and dictionary.com close by). Now that I've finished, I honestly don't know quite what to make of it...I didn't like it. But I didn't dislike it either. Hence, this awkward state of tension I've carved for myself.I think my biggest issue with this book (aside from the subject matter, of course) was that the language itself had its ups and downs with me. I thought the prose was breathtaking at points, especially when HH was describing Lolita, and downright unnecessarily difficult at others. Especially when the book turns into a detective cat-and-mouse chase, I got a bit lost in the turns of Nabokov's winding sentences. As a self-implemented rule, I don't reread books (because there are so many out there that I haven't even read once yet!) but perhaps it is just a testament to Nabokov's skill that I must say this: This book BEGS to be reread.Oh, please, for the love of all that is holy, Melanie Chen, please, some day, way far from now, reread this book. There are so many elusive references and gentle reminders and nudges of word play that you undoubtedly missed the first time around! Perhaps now was not the best time. Perhaps after a boyfriend, a marriage, or maybe even a child, but some day come back and give a second glance to these pages.(I am glad I finally got around to reading it though. Till next time, then.)"
4,Leasha,93,92,Achievement in literature? Yes. Creepy as all get out? Absolutely. 
4,Chelsea Hosford,103,102,I hated this book.
4,Irina Garaeva,110,109,"I've read enthusiastic critics about this book and its deep ideas about love, importance of having the full family where parents really take care about children but - to tell the truth - I couldn't find any of these thoughts :( I've seen only vulgar story that sometimes is uncomfortable to read. Of course this is just my subjective point of view and I admit I didn't understand something - but no way I will try to reach the depth again, I won't re-read it, no-no-no!!"
4,Miranda,120,119,"If I could give this a negative star, I would. This book just creeeped me out. The writing is wonderful, though. "
4,Lhagen,123,122,Worst book EVER.
4,Renee,124,123,Quite possibly the most bizarre and disturbed novel I've ever read.
4,Romesh,126,125,Definitely not my sort of book...
4,Alison Annon,134,133,What. The. Fuck. 
4,Chi Chi,135,134,What a pretentious piece of crap.
4,Kate Rice,136,135,"My passionate dislike of this book is legend amongst my long time friends. When an ex brought this book into my apartment one evening;he and I got into an epic argument about how over rated and depraved a book this actually is. The argument concluded with me tearing his much wanked over paperback copy of Lolita in half and throwing it out the window of my SF Chinatown apartment onto Clay Street.He's lucky I didn't light it on fire, too.Needless to say, the relationship didn't last much longer."
4,Shantadee Gadson,138,137,"If I could, I would give it a negative star. I'm not interested in this book. Less then 15 pages and I don't care to read another page. The content is not for me!"
4,Shae/Shelver,140,139,"Pretentious, boring, and fails to elicit anything other than disgust."
4,Marissa,143,142,I read it because it is considered a classic. It pretty much weirded me out though. 
4,Aleena,145,144,"WHAT, IN THE NAME OF GOD, WAS THAT?It was grave mistake to read this book. I came across this book in a bookshop and was horribly surprised when I read scanned its synopsis. Later I searched on google and saying that I was surprised is understatement of the century.Why did I read it? Because of the reviews and my naivety and stupidity. Honestly, what was I thinking?Anyway, this book was like a powerful gust which swayed me off my feet, filled my mouth with dirt and gagged me. THIS WAS PEDOPHILIA, NOTHING ELSE. IT HAD NO HIDDEN PLOT. NO. NOTHING. The worst thing about this novel was not its plot but the fact that people actually like it!!! to the people who said ”it was beautiful, it was wonderfully written, it had a strong plot bla bla bla” and then blatantly wrote that it disturbed me and gave it 3-5 stars I’ll say YOU’RE FULL OF SHIT.It is a classic, I get it. But it is okay not to like them. It is not a good enough reason to like this book neither is “it happens” or “but look at its end” it is not a sin to dislike classics. I don’t care if it was written well because the plot killed and i did not complete I only read up to the point when lolita’s mother died and humbert and she go about travelling. Rest of the story I gathered from different reviews. I was feeling so horrible about the world by the time I started writing this. “Wonderfully written! Chilling! Best book! 

REALLY? REALLY?

 There is fine line between wrong and right, morality and immorality and anybody who has sight enough to discern that would say that paedophilia is way too far on the wrong and immoral side and that it is not okay, neither is a book written on it.P.S I get the fact that everybody has freedom to read and like whatever they want and I couldn’t care less but if you liked this book I will judge your mental stability."
4,EvaH,147,146,"Horrible, horrible story. It may have been written well, the story itself disgusted me (which may be the intention)."
4,Lialia,151,150,"I found this book so boring, the author goes round and round with the plot..."
4,Alisha Hanson-Glatzel,153,152,"Was Nabokov a talented writer? Yes. Is he a messed up ass who can't control himself and in turn damages others for his benefit? Yes. He gets no credit from me for his writing, he is a jerk who puts his pleasure over others pain. I have no idea why I tortured myself with this one. I got almost half way through and asked myself why I was doing this? Did I need to see into the mind of a pedaphile? Maybe, but I didn't need to finish it, so I didn't. Yuck!"
4,Menna,154,153,i wish i never read that. what a disgusting pedophile !! 
4,Jenny E.,155,154,Here you can read my review in Swedish: http://jennyjag.wordpress.com/2013/07...
4,Kimbie,160,159,It is a book about a glorified child molester 
4,Nabila,163,162,Pretty prose and that's about it.
4,Ayya,166,165,I hated this with every single fiber of my being. 
4,~*kath*~,172,171,"I hate this book with a passion. I personally believe that the only reason it ever gained any fame was because of it's taboo subject. If it were not so salacious, it would have been buried in time as the piece of sensationalist rubbish that it is."
4,Gina,181,180,"While I can appreciate that this book was well written, I couldn't get past the nausea to enjoy it."
4,Abdelrahman Elkomy,182,181,رواية زبالة .. خيالات مراهق م الاخر يعنى
4,Mều Đen,185,184,Không cảm nổi. Thật sự là không đọc nổi từ những chương đầu.
4,Samah Al-Atwani,188,187,"It is just me or is there something really Wrong with this book... I mean, i had the impression that this book was the greatest book about love and instead it is about a pedofile killing a mother, abducting her child and then literally raping her. As if that is not bad enough, the main character makes it seem that is is the young girl who askes for it... Maybe i got it all wrong ?? "
4,R!x,189,188,"Debo admitir que me brinqué muchos capítulos... Pero muuchos, por no decir la mitad de libro. No soy de los que dice que un libro es malo solo porque no le gustó, y menos este del cual he visto muy buenos comentarios, mas bien prefiero pensar que no era para mi o no era el momento correcto para leerlo. No prometo intentarlo de nuevo porque no creo que eso pase, tengo la película y con eso complementaré las lagunas que me quedaron de la historia. Amén."
4,Marjuque,191,190,"Oh muse why? why compose such boredom? why such painfully lyrical horror of sentences so devoid of stimulus. Why such an impoverished story lacking on such various levels composed of such indifferent ramblings so appreciated by the masses, because of the idea? because of the begining paragraph-perhaps, the only redeeming quality of the book I presume. Justice certainly wasn't done to the idea, it was rendered ugly if anything else. the problem was not the idea but the narrow perspective that was taken. I practically slogged through the whole thing thinking, thinking, thinking, when does this end. Yes that's right this book was horrible. I have nothing good to say about it."
4,Gautama Siddartha,193,192,I didn't like this book for the fact that this is truth. 
4,Gianna,201,200,Too disturbing to read...I can find soooo many other lyrical books with better subject matter.
4,Paula Burdette,213,212,"It was a good, well-written book. I just couldn't stomach the content. It made me angry, sick, unnerved, near-despondent. Like I said, a good book, just not for me."
4,Kaushal,219,218,"For all its fame, I couldn't even finish the book. Gave up half way, and that only because it is considered such a big deal. Others may rave about it, but Lolita ain't for me. Waste of time."
4,Keisi Mancellari,220,219,I'm so surprised that some people liked this book. What in the world is there to like? There's this pedophile who... Does what every pedophile does. Moral? None. 
4,Véronique,222,221,Éloge de la pédophilie. Pas capable.
4,DaniEla,223,222,dnfThat's all.
4,Chloe,228,227,"I persisted in finishing this book because I was waiting for something, anything to redeem it. Nothing did, and it just kept on being relentlessly creepy. Like, am I missing something? Why is this book so popular/famous? Someone once told me that reading this book just made the reader feel kinda dirty. I agree. Time for me to shake off this novel with something more redeeming."
4,Vie_tha,229,228,Udah selesai baca...Lumayan...Tapi rumit juga
4,Santiago Llach,232,231,Pretenciosa. Lamentable.
4,cagdas,237,236,SUCKS.
4,Jenn Kerns,241,240,"I found it disturbing to ""be in the mind"" of the main character as he lusted over a preteen. Well written, just beyond chilling and not somewhere I will tread again due to psychological curiosity."
4,Jessica Oban,243,242,"This book was written beautifully. Mr. Nabokov is a wonderfull author. So why am I giving it one star? Because of the story. It's about a pediphile. I'm sorry, I just couldn't read it. I wanted to, but I... just couldn't."
4,Nancy Hall,245,244,"For all the hype I read aboout this book, I was disapointed. It featured a lot of rambling."
4,Tessara Dudley,246,245,"I have been trying unsuccessfully to get through this book for four or five years. I am stalled at the halfway point now, because I am just sickened at the narrator and his terrible rationalisation of the rape he has committed --is committing.My copy of the book says on the back: ""The only convincing love story of our century."" -- Vanity FairPerhaps they read a different book than I did; I, for one, see no love here."
4,Caterina,250,249,"One star means what it says ""Did not like it."" The writing style was brilliant, but being inside the head of the protagonist was so vile that the book made me sick; I couldn't finish it. "
4,Brendan,254,253,"Although the writing was beautiful and the stories within entertaining, I could not get past my disgust of the main characters. If anything, I enjoyed it's American road trip commentary best."
4,Kotka Sharena,255,254,Безвъзвратно загубено време... Не си струваше. Книгата оглавява личното ми Топ 3 на безсмислени творения.
4,Mellissa,258,257,"Absolutely disgusting! I read just over half of it before it became unbearable, I thought well this is such a recommended book, surely it wont be to graphic. I actually throw this book out, but trust me I wanted to burn it!Zero stars from me!!!"
4,Ivan,263,262,"A dreadfully, stupendously, mind-numbingly tedious tale of a codependent pedophile, which could have been three times shorter, and twice clearer for the fact. This so-called masterpiece of literature should be in place of a sleeping drug. A pretentious and trivial tale of a social case, diluted with some Russophobic undercurrents and unbearably smug commentary on most insignificant events and things. Nabokov was just another logorhheic twit who duped the world into thinking he was some genius. I am really disappointed having ever got my hands on this book, as the time spent on it was better spent on watching the grass grow, or basically anything else."
4,Kissu,268,267,"Había escuchado que era un libro erótico y, según sé, estuvo prohibido. Sin embargo, no tiene nada de erótico y la temática ya es muy vieja para mi gusto. Me pareció muy aburrido y el lenguaje que utiliza no es de mi agrado."
4,Molly Octopus,269,268,One of the most disappointing books I have ever read. I was bored to tears trying to get through it. The latter 2/3 of this novel reads like a travelogue.The plot devices he utilizes are nauseatingly cliche and convenient.Overrated.
4,Chrystal714,273,272,"I couldn't get through this book. I listened to the first disk only because I was on a long drive and forced myself. I just couldn't handle listening to a book written from the pedofiles prospective. It made my skin crawl, it made me want to vomit."
4,Sh3lly,275,274,"UNPOPULAR OPINION TIME:I wanted to read this for the 2016 reading challenge with the MacHalo group. Also, we chose it for our February Taboo Month. I tried. But, you know what? F-it. I think this book is shiat. Yes, I am saying it. I have no idea why this is a classic. I admit to being classics stupid, so maybe that's why I don't get it. But to me, this is just a glorified and accepted account of pedophilia. And BORING as hell.The author, and I admit I know nothing of him, creeps me out and I find him highly suspicious just for writing this. The main character is an idiot and being in his head is so trite. I don't find his way of thinking to be exceptional or intriguing in any way whatsoever. I don't find the way the author wrote him as being beautiful or intriguing in any way whatsoever.Here is what I think of when I think of Humbert Humbert and Lolita:I got to 15% and I am out. It would be torture for me to continue with this. And yeah, I'm giving it 1 star. I will find another book for the challenge. I want to kill this book with fire. I never want to hear the word ""nymphet"" again. But hey, I'm sure I read it wrong, so for those who loved this book, maybe I'm just too dumb to get it. I found it offensive and boring; I'm not sure which is worse. This guy was like 40 or something and romanticizing 12 year olds and trying to get in their pants. Yeah, you could just say it's this great fascinating study of a sicko's mind, but I still don't find that literary or beautiful in any acceptable way."
4,حماس,277,276,O.o:(
4,Kiel,282,281,Because it lives: validates the animal tendency we once nearly outgrew.
4,Molly Gray,283,282,A 12 year old? Yikes. Could not get passed that.
4,Stephanie A. Higa,285,284,"Nabokov's writing is dazzling, especially considering English isn't his first language, and it's the only aspect of this book that I didn't find totally repulsive. No amount of maniacal poetry and brilliant technique could make up for the actual goings-on of this story. Eventually even the writing began to grate on my nerves because Humbert Humbert is such a disgusting, repellent, horrible person with retarded delusions as well as an extremely annoying character. Every other line I thought, ""What a dumbass."" This ""dumbass"" echo got louder by about tenfold toward the end. How annoying is it to hear an incessant stream of dumbass dumbass DUMBASS when you're trying so hard to keep up with a poem in prose about a child rapist/murderer/psychopath? Trust me; it's worse than it sounds.I get the hype. I guess. I got it at about page three when I realized I hadn't read prose so delicious (the sound, not the excremental content obviously) in a long time. Clearly the book had nothing else to offer besides that and the foolish hope that it would end in literary revenge (foolish, because postmodernists don't like revenge), which is why I sped through the remaining pages. At least it was a fast read. Yeah yeah, Nabokov is a genius and all that, but god did I hate this book. Thankfully I got it for free from somewhere. Who knows.Also, no way in hell did I ever sympathize with the dumbass H. H. Nabokov's writing isn't THAT good. But I doubt anyone's is. No one could make something as awful as child abuse sympathetic...no one! For a real sympathetic psychopath committing a much more sympathetic crime, see The Talented Mr. Ripley (and, to a lesser, extent, Notes on a Scandal). No, the prose isn't as pretty, and the characters aren't as eloquent, but that's the point. Slick talking makes one more suspicious, not less."
4,Deb H,293,292,The worst. Bottom 100 books read. A horrifying look from the lens of a sociopathic pedophile. 
4,Nymphadoralestrange,298,297,The whole concept of the book is sick and twisted. It does not deserve all the praise it receives.
4,Christopher Bindel,299,298,W.T.F!
4,Pep,302,301,"Made me want to vomit the whole way through. It is written really well, but when one combines the topic with the real life of Nabokov. UGH. Makes me want OTHER books to wash this one out."
4,Tracy Roy,305,304,The prose is masterful. The subject matter is abhorrent and I was miserable the whole time. 
4,Debbie,307,306,"OK, so I didn't finish it. I just couldn't. ""HH"" was just too annoying. And unfortunately, the entire book consists of his rambling. I wanted to like this book so much and maybe I'm a lesser person for not seeing the beauty of it. The only part that I liked was him plotting to kill his wife - that was a little funny. Does that make me a bad person? I think this entire review makes me a bad person. Ohhhh well."
4,Katiekate,308,307,I started reading this but was too skeeved out to continue. Still sitting on my shelf and I likely won't finish it.
4,Phil Villarreal,309,308,"I hated this book throughout, and I would hope it's not just because I have a daughter. I suffered through the entire thing only to gain the right to smack down anyone who would apologize for this as something other than a child pornography/sex slave fantasy.The elegant writing and incredible skill involved only make me despise the book more. I don't think there's artistic validity here, and I would discourage anyone who feels as though they have to read it to be well-read from doing so. The book is full of agony and depravity, and it's sickening to attempt to put a human and relatable face to such a monster. I believe the literary world would be better off if Lolita did not exist."
4,Victoria Hegner,311,310,.............................
4,Abdulkareem Alyousef,316,315,وقت ثمين جدا أضعته في قرائتها ..
4,Dana Abney,318,317,"I did not enjoy this book at all. While I can appreciate it on an intellectual level, I was emotionally sickened by the whole story. Definitely will be steering clear of this and books like it in the future. The subject of pedophilia and the way the main character justified his actions in his mind was not a perspective I enjoyed delving into. Like I said, interesting in an academic sort of way, but emotionally challenging. "
4,Erin Martin,322,321,Argh! I can't even rate this stupid book because I couldn't finish it. I read 189 pages and I was so sickened by where it had already been and where it was heading that I couldn't go on. I think it's because I have daughters and what he does to his step-daughter is not right and not good literature. I'm so mad at myself for reading as much as I did. Thank God for my last alternate for my reading challenge.
4,Gemma Herrero Virto,323,322,"Igual parezco una inculta por hacer este comentario, pero tengo que ser sincera. Me ha resultado infumable, pesado, pedante, aburrido hasta la extenuación. Lo he acabado por cabezonería pura, pero hacía muchísimo tiempo que no me aburría tanto leyendo un libro.El principio no es tan malo. De hecho, me pareció que el escritor había hecho un ejercicio de empatía sublime al poder ponerse en la piel de un pederasta y explicar sus emociones y justificaciones. Pero, cuando comienza la parte del viaje, el libro se vuelve aburridísimo. No se pueden llenar cientos de páginas con los pensamientos de un neurótico pedante y su relación con una cría superficial y caprichosa. En cuanto a trama, toda la parte del viaje no tiene nada. De hecho, lo único que estuve deseando todo el tiempo, era que se despeñasen los dos en alguna carretera y acabasen por fin con aquel sufrimiento.El vocabulario del autor es tan amplio que abruma (yo creo que tengo un buen nivel de vocabulario y aún así, no creo que haya habido una sola página en la que no me habría venido bien tener un diccionario a mano). Eso cuando no se pone a hacer larguísimas citas en francés.En resumen, una de las experiencias de lectura más tediosas de toda mi vida."
4,Lindsey,324,323,"Not my bag baby...Difficult to get into, I thought."
4,Wilma,326,325,ugh
4,Huda Yahya,340,339,"يوميات متحرش بالأطفال:::::::::::::::::::::س: عرف العمل الأدبي الكلاسيكيج هو عمل غالبًا لا تستطيع أن تفهم سبب شهرته وخلوده مهما حاولت التمحيص والتفحيصفلا شيء سوى لسان طويل طويل يخرج لك مستهزءا باليوم اللي - اتهبلت فيه ف عقلك وقلت يارواياتوقد يصاحب ذلك محاولات متكررة في شد شعرك مستميتا في المحاولةلما هذا السفه قد يعتبر عملَا أدبيا خالدا؟؟;;;;;;;;;;الرواية تبرز إمكانات ناباكوف الضعيفة والمثيرة للشفقة-مع مراعاة الزمن الذي كتبت فيه الروايةفذلك السرد وتلك اللغة لا يتركان مجالا للشكوكأن هذا الرجل قد أقسم بأغلظ الأيمان على فقع مرارة قارئهفبعيدا عن الاشمئزاز الممزوج ربما ببعض الحزن على حال الفتاة المسكينة التي تغتصب يومياتجد أن الرواية سخيفة لا تثير في نفسك اي مشاعر أو متعة أدبيةإنها صفحات من الملل الصرفبطل لا تتعاطف معهفتاة لا تحاول الرواية إضافة بعدا أو عمقا لشخصيتهاحدوتة لا تجذبك بحال;;;;;;;;;;لوليتا القتاة ذات الإثني عشر ربيعا ""هي واحدة من ""الحوريات المسعوراتكما يسميهن البطل الهماموهو رجل رائع يقدر الطفلات البريئات كثيرةولا يشبع من رغبته النهمة فيهن وذلك قدر ما هو حنون ونبيلO:)أحيانا يجرب النساء الناضجات-ما هي حاجة ببلاش كدهوذلك لسد الحاجة حين تفيض الشهوة عن الحد-امّال هيعمل ايه يعني:'(وطوال أحداث الرواية الميمونة يحدثك البطل ال(حونين بالقوي) عن رغباته الشريفة تلكعن كيف بدأت معه وكيف حاربها (ياعييييني ياخوييا) حتى غلبتهثم يستمر غالبا في وصف شبقه الذي لا ينتهي لجسد الفتاة المسكينأما عن الأحداث القليلة المتبقية والتي ظن الكاتب أنه بها يعمق روايته ويكسبها قيمة أدبيةفهي حقا تبهرك-أنا كهدى انبهرتفالبطل يواجه -حبيب قلب أمه حكما بالإعدامولوليتا تتزوج من آخر بعدما كبرتوالحقيقة ممكن تكمل الباقي من أي مسلسل عربي يعجبكأما عن طريقة السرد فشعرت دوما في السطور التي كان يحاول أن يتفلسف فيها بحذلقة و تكلف وسخف غير مبرر على الإطلاق;;;;;;;;;;باختصار لم أحبهالم تجذبنيأندم على الوقت الذي ضيعته منتظرة أن تبدأ القصة بالتحسننصيحة#متقراهاشالدنيا فيها كتب عظيمة وعبقرية كتير لما نخلصهم الأول"
4,Sabrine Faragallah,344,343,"I've been waiting for the right time to use this word: abhorrent. And yet ever the empath, I feel the need to rationalize Nabokov's motive. While mildly interesting to understand a pedophile's mind, I couldn't help but wonder if Nabokov's goal was to make a mockery of English romance novels from Austen and Bronte. I began to piece together this hypothesis when I noticed how distracted I was by his overuse of esoteric English words and overly-dramatic first person narrative. To be honest, I started skimming through the passages 2/3 of the way in. Perhaps he felt slighted by the literary community that his native Russian works were not taken as seriously as he would have liked and his epic romance would be a vulgar and repulsive adaptation to forever curse English lit. I'm curious now to know ""the real"" Nabokov and might try another book of his to understand why a rational man would conjure such a story."
4,I Love Audiobooks,347,346,"Zero stars! What a disgusting, perverted, pretentiously-written piece of trash. And this is considered a classic of 20th century modern English literature? Really??!!! Jeremy Irons did a great narration however, but I almost felt sorry for him having to waste his talents on this sleazy excuse for a novel."
4,Juning,354,353,"I really didn't like this book at all! Never been so bored, and never used so many days to finish a book. Didn't like any of the characters in it, and felt disgusted with the main character. There was also too much French, which never got translated aswell. Not everyone speaks French. "
4,Rhonda Lundquist,356,355,"I think his writing is superb, but I am overwhelmed by the subject matter and the evil nature of the protaganist. I wouldn't say don't read it, it just was so vivid it made me feel sick."
4,Nae,360,359,"Wham, bam, thank you (30 pages in, I'm done) ma'am."
4,E.J. Zyla,362,361,Intense feelings of hate for this book...
4,Gita S.r.,363,362,I hate this book!
