word,freq_grltrain,prop_grltrain,freq_orwell,prop_orwell,freq_crime,prop_crime,freq_lolita,prop_lolita,freq_catcher,prop_catcher,freq_gatsby,prop_gatsby,freq_feynman,prop_feynman,freq_giver,prop_giver,freq_artwar,prop_artwar,freq_vegas,prop_vegas,freq_friends,prop_friends,freq_hitchhike,prop_hitchhike
character,2482.0,0.0109254498715,370.0,0.00247395659209,794.0,0.00857090426278,521.0,0.00442177448101,852.0,0.00538371615431,1152.0,0.00629167827241,78.0,0.00440553515956,597.0,0.00382559883117,9.0,0.000538599640934,60.0,0.00309119010819,27.0,0.0004415877533,427.0,0.00493322242248
like,1860.0,0.00818748459344,717.0,0.00479412669332,519.0,0.00560239208109,624.0,0.00529594486786,1318.0,0.00832833085842,1042.0,0.00569091038182,159.0,0.0089805139791,1208.0,0.00774091019775,113.0,0.00676241771394,207.0,0.0106646058733,470.0,0.00768689792781,599.0,0.00692037524839
girl,1711.0,0.00753160545128,43.0,0.000287513874216,40.0,0.000431783590065,402.0,0.00341181063602,168.0,0.00106157783324,225.0,0.00122884341258,19.0,0.00107314317989,93.0,0.000595947556615,0.0,0.0,0.0,0.0,9.0,0.000147195917767,21.0,0.000242617496187
end,1620.0,0.00713103496848,564.0,0.00377111221065,368.0,0.00397240902859,359.0,0.00304686571724,492.0,0.00310890651164,728.0,0.00397599113048,38.0,0.00214628635979,747.0,0.00478680456765,14.0,0.000837821663674,43.0,0.00221535291087,55.0,0.000899530608573,268.0,0.00309626137992
real,1585.0,0.00697696939818,646.0,0.00431939448241,439.0,0.00473882490096,538.0,0.0045660550303,1092.0,0.00690025591608,839.0,0.00458222054735,136.0,0.00768144591923,979.0,0.00627346944007,86.0,0.00514661879114,132.0,0.00680061823802,443.0,0.00724531017451,445.0,0.00514118027635
rachel,1554.0,0.00684051132162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
story,1471.0,0.00647515582632,416.0,0.00278152957381,418.0,0.00451213851618,628.0,0.00532989323239,633.0,0.00399987362169,910.0,0.0049699889131,48.0,0.00271109855973,816.0,0.00522895920643,9.0,0.000538599640934,115.0,0.0059247810407,31.0,0.000507008161196,368.0,0.00425158279033
train,1412.0,0.00621544529352,0.0,0.0,0.0,0.0,15.0,0.000127306367016,33.0,0.000208524217244,15.0,8.1922894172e-05,0.0,0.0,226.0,0.00144821664296,0.0,0.0,0.0,0.0,17.0,0.000278036733559,10.0,0.000115532141042
thriller,1289.0,0.00567401486072,10.0,6.68636916781e-05,64.0,0.000690853744103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gone,1237.0,0.00544511744198,51.0,0.000341004827559,13.0,0.000140329666771,22.0,0.000186716004956,43.0,0.000271713373985,55.0,0.000300383945297,0.0,0.0,39.0,0.000249913491484,0.0,0.0,10.0,0.000515198351365,9.0,0.000147195917767,20.0,0.000231064282083
love,1215.0,0.00534827622636,608.0,0.00406531245403,467.0,0.005041073414,952.0,0.00807971075993,999.0,0.0063125967584,1505.0,0.00821959704859,143.0,0.00807681445919,1242.0,0.00795878349802,56.0,0.0033512866547,178.0,0.0091705306543,215.0,0.00351634692442,672.0,0.007763759878
see,1204.0,0.00529985561855,373.0,0.00249401569959,221.0,0.00238560433511,339.0,0.00287712389456,621.0,0.0039240466336,580.0,0.00316768524132,56.0,0.00316294831968,770.0,0.00493418944724,42.0,0.00251346499102,79.0,0.00407006697579,196.0,0.00320559998692,169.0,0.0019524931836
time,1129.0,0.00496971511075,758.0,0.0050682678292,687.0,0.00741588315936,743.0,0.00630590871285,1171.0,0.00739945025434,1206.0,0.00658660069143,160.0,0.0090369951991,831.0,0.00532507978008,154.0,0.00921603830042,233.0,0.0120041215868,514.0,0.00840652241467,758.0,0.00875733629096
good,1083.0,0.00476722893263,276.0,0.00184543789032,295.0,0.00318440397673,247.0,0.00209631151019,414.0,0.00261603108907,407.0,0.0022228411952,60.0,0.00338887319966,588.0,0.00376792648699,81.0,0.0048473967684,100.0,0.00515198351365,526.0,0.00860278363836,347.0,0.00400896529414
know,991.0,0.0043622565764,481.0,0.00321614356972,263.0,0.00283897710468,424.0,0.00359852664098,745.0,0.00470759217718,606.0,0.00330968492455,84.0,0.00474442247953,780.0,0.00499826982967,88.0,0.00526630760024,58.0,0.00298815043792,221.0,0.00361447753627,319.0,0.00368547529923
think,978.0,0.00430503222171,799.0,0.00534240896508,419.0,0.00452293310593,542.0,0.00460000339484,1039.0,0.00656535338536,697.0,0.00380668381586,137.0,0.00773792713923,979.0,0.00627346944007,98.0,0.00586475164572,77.0,0.00396702730551,431.0,0.00704904895082,345.0,0.00398585886594
go,978.0,0.00430503222171,341.0,0.00228005188622,239.0,0.00257990695064,291.0,0.00246974352011,770.0,0.00486556506903,534.0,0.00291645503252,49.0,0.00276757977972,564.0,0.00361413356915,49.0,0.00293237582286,82.0,0.0042246264812,157.0,0.00256775100993,317.0,0.00366236887102
read,974.0,0.00428742472796,534.0,0.00357052113561,489.0,0.00527855438854,582.0,0.00493948704021,774.0,0.00489084073173,680.0,0.00371383786913,131.0,0.00739903981926,707.0,0.00453048303792,124.0,0.00742070616397,134.0,0.00690365790829,427.0,0.00698362854292,507.0,0.00585747955081
way,973.0,0.00428302285453,553.0,0.0036975621498,368.0,0.00397240902859,515.0,0.00437085193421,802.0,0.0050677703706,689.0,0.00376299160563,123.0,0.00694719005931,627.0,0.00401783997847,87.0,0.00520646319569,120.0,0.00618238021638,418.0,0.00683643262516,438.0,0.00506030777762
