,Year,Link,Week Ending,Comdata,T-Chek Self-Serve,T-Chek Wholesale 
0,2016.0,http://www.ttnews.com/fuel/comdata.aspx,2/19,184.7,189.4,108.2
0,2016.0,http://www.ttnews.com/fuel/comdata.aspx,1/1,206.4,209.8,112.8
0,2016.0,http://www.ttnews.com/fuel/comdata.aspx,1/8,202.3,206.3,110.0
0,2016.0,http://www.ttnews.com/fuel/comdata.aspx,1/15,198.5,201.4,99.5
0,2016.0,http://www.ttnews.com/fuel/comdata.aspx,1/22,193.3,197.1,91.5
0,2016.0,http://www.ttnews.com/fuel/comdata.aspx,1/29,188.8,192.1,99.1
0,2016.0,http://www.ttnews.com/fuel/comdata.aspx,2/5,186.2,189.6,105.3
0,2016.0,http://www.ttnews.com/fuel/comdata.aspx,2/12,184.4,188.2,100.6
0,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,12/25,209.7,214.4,113.3
0,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,1/2,301.0,313.4,177.0
0,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,1/9,291.8,303.1,166.7
0,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,1/16,284.4,294.1,156.6
0,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,1/23,273.7,283.7,158.7
0,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,1/30,266.4,278.3,162.2
0,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,2/6,264.5,274.5,180.7
0,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,2/13,265.8,274.3,188.0
0,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,2/20,270.4,277.7,194.6
0,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,2/27,272.3,279.2,194.6
0,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,3/6,274.1,279.6,194.2
0,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,3/13,273.9,278.6,185.0
0,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,3/20,270.4,274.4,174.8
0,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,3/27,264.7,269.9,175.5
0,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,4/3,261.1,266.7,172.5
0,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,4/10,256.7,264.1,174.2
0,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,4/17,254.9,263.4,184.3
0,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,4/24,259.8,267.5,187.4
0,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,5/1,264.4,269.9,192.4
0,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,5/8,268.8,274.4,199.9
0,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,5/15,269.9,275.8,199.7
0,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,5/22,273.7,277.8,197.9
0,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,5/29,272.0,277.6,191.1
0,2015.0,http://www.ttnews.com/fuel/comdata2015.htm,6/5,272.1,277.4,190.0
