,Rank2015,Rank2014,CompanyName,Link,Revenue,NetIncome,Employees,Tractors,Trailers
0,1.0,1.0,UPS Inc.,http://www.ttnews.com/top100/companies/profile.aspx?co=ups,58232000.0,3032000.0,435000.0,106000.0,0.0
0,2.0,2.0,FedEx Corp.,http://www.ttnews.com/top100/companies/profile.aspx?co=fedex,47100000.0,2532000.0,325000.0,26594.0,97469.0
0,3.0,3.0,J.B. Hunt Transport Services,http://www.ttnews.com/top100/companies/profile.aspx?co=jbhunt,6165441.0,374792.0,20158.0,12995.0,27731.0
0,4.0,4.0,Con-way Inc.,http://www.ttnews.com/top100/companies/profile.aspx?co=conway,5806069.0,137039.0,30100.0,12100.0,33300.0
0,5.0,5.0,YRC Worldwide,http://www.ttnews.com/top100/companies/profile.aspx?co=yrc,5068800.0,-67700.0,33000.0,6400.0,13000.0
0,6.0,6.0,Swift Transportation,http://www.ttnews.com/top100/companies/profile.aspx?co=swift,4298724.0,161151.0,21274.0,18836.0,61652.0
0,7.0,7.0,Schneider,http://www.ttnews.com/top100/companies/profile.aspx?co=schneider,3900000.0,0.0,17450.0,12300.0,32350.0
0,8.0,8.0,Hub Group,http://www.ttnews.com/top100/companies/profile.aspx?co=hubgroup,3571126.0,51558.0,2568.0,2977.0,448.0
0,9.0,9.0,TransForce Inc. ,http://www.ttnews.com/top100/companies/profile.aspx?co=transforce,3363213.0,138902.0,16050.0,14980.0,18680.0
0,10.0,10.0,Landstar System,http://www.ttnews.com/top100/companies/profile.aspx?co=landstar,3184790.0,138809.0,1211.0,8662.0,13732.0
0,11.0,12.0,Old Dominion Freight Line,http://www.ttnews.com/top100/companies/profile.aspx?co=odfl,2787897.0,267514.0,18804.0,6907.0,27635.0
0,12.0,13.0,ArcBest Corp.,http://www.ttnews.com/top100/companies/profile.aspx?co=arcbest,2612693.0,46177.0,13238.0,4191.0,19911.0
0,13.0,11.0,Ryder Supply Chain Solutions,http://www.ttnews.com/top100/companies/profile.aspx?co=ryder,2461149.0,122356.0,0.0,4098.0,6042.0
0,14.0,0.0,XPO Logistics,http://www.ttnews.com/top100/companies/profile.aspx?co=xpo,2356600.0,-63600.0,10000.0,6200.0,0.0
0,15.0,16.0,Estes Express Lines,http://www.ttnews.com/top100/companies/profile.aspx?co=estes,2173000.0,0.0,15815.0,6620.0,24592.0
0,16.0,14.0,Werner Enterprises,http://www.ttnews.com/top100/companies/profile.aspx?co=werner,2139289.0,98650.0,10664.0,7105.0,22305.0
0,17.0,21.0,Roadrunner Transportation Systems,http://www.ttnews.com/top100/companies/profile.aspx?co=roadrunner,1872816.0,51974.0,4142.0,4170.0,5135.0
0,18.0,18.0,U.S. Xpress Enterprises,http://www.ttnews.com/top100/companies/profile.aspx?co=usxpress,1730000.0,0.0,0.0,7770.0,17000.0
0,19.0,17.0,UniGroup Inc.,http://www.ttnews.com/top100/companies/profile.aspx?co=unigroup,1700000.0,0.0,1150.0,5001.0,8500.0
0,20.0,23.0,Kenan Advantage Group,http://www.ttnews.com/top100/companies/profile.aspx?co=kenan,1567453.0,0.0,7265.0,6455.0,9448.0
0,21.0,22.0,Prime Inc.,http://www.ttnews.com/top100/companies/profile.aspx?co=prime,1563413.0,207436.0,4450.0,6187.0,10637.0
0,22.0,19.0,Purolator Holdings Ltd.,http://www.ttnews.com/top100/companies/profile.aspx?co=purolator,1524071.0,0.0,11500.0,489.0,1286.0
0,23.0,20.0,C.R. England Inc.,http://www.ttnews.com/top100/companies/profile.aspx?co=crengland,1517290.0,0.0,7385.0,4087.0,5923.0
0,24.0,15.0,Sirva Inc.,http://www.ttnews.com/top100/companies/profile.aspx?co=sirva,1464400.0,0.0,2700.0,2609.0,4263.0
0,25.0,24.0,CRST International,http://www.ttnews.com/top100/companies/profile.aspx?co=crst,1351571.0,0.0,5129.0,4394.0,7290.0
0,26.0,25.0,Saia Inc.,http://www.ttnews.com/top100/companies/profile.aspx?co=saia,1272321.0,51991.0,8900.0,3780.0,11530.0
0,27.0,28.0,Universal Truckload Services Inc.,http://www.ttnews.com/top100/companies/profile.aspx?co=universaltruckload,1191521.0,45370.0,4218.0,4408.0,6291.0
0,28.0,27.0,Southeastern Freight Lines,http://www.ttnews.com/top100/companies/profile.aspx?co=sefreight,1171968.0,0.0,8299.0,3599.0,11496.0
0,29.0,32.0,Penske Logistics,http://www.ttnews.com/top100/companies/profile.aspx?co=penske,1137000.0,0.0,13000.0,2054.0,4918.0
