Rank ,CityState ,2012popu,city,state
1,New York City; New York,8336697,New York City, New York
2,Los Angeles; California,3857799,Los Angeles, California
3,Chicago; Illinois,2714856,Chicago, Illinois
4,Houston; Texas,2160821,Houston, Texas
5,Philadelphia; Pennsylvania,1547607,Philadelphia, Pennsylvania
6,Phoenix; Arizona,1488750,Phoenix, Arizona
7,San Antonio; Texas,1382951,San Antonio, Texas
8,San Diego; California,1338348,San Diego, California
9,Dallas; Texas,1241162,Dallas, Texas
10,San Jose; California,982765,San Jose, California
11,Austin; Texas,842592,Austin, Texas
12,Jacksonville; Florida,836507,Jacksonville, Florida
13,Indianapolis; Indiana,834852,Indianapolis, Indiana
14,San Francisco; California,825863,San Francisco, California
15,Columbus; Ohio,809798,Columbus, Ohio
16,Fort Worth; Texas,777992,Fort Worth, Texas
17,Charlotte; North Carolina,775202,Charlotte, North Carolina
18,Detroit; Michigan,701475,Detroit, Michigan
19,El Paso; Texas,672538,El Paso, Texas
20,Memphis; Tennessee,655155,Memphis, Tennessee
21,Boston; Massachusetts,636479,Boston, Massachusetts
22,Seattle; Washington,634535,Seattle, Washington
23,Denver; Colorado,634265,Denver, Colorado
24,Washington; DC,632323,Washington, DC
25,Nashville-Davidson; Tennessee,624496,Nashville-Davidson, Tennessee
26,Baltimore; Maryland,621342,Baltimore, Maryland
27,Louisville/Jefferson; Kentucky,605110,Louisville/Jefferson, Kentucky
28,Portland; Oregon,603106,Portland, Oregon
29,Oklahoma ; Oklahoma,599199,Oklahoma , Oklahoma
30,Milwaukee; Wisconsin,598916,Milwaukee, Wisconsin
31,Las Vegas; Nevada,596424,Las Vegas, Nevada
32,Albuquerque; New Mexico,555417,Albuquerque, New Mexico
33,Tucson; Arizona,524295,Tucson, Arizona
34,Fresno; California,505882,Fresno, California
35,Sacramento; California,475516,Sacramento, California
36,Long Beach; California,467892,Long Beach, California
37,Kansas ; Missouri,464310,Kansas , Missouri
38,Mesa; Arizona,452084,Mesa, Arizona
39,Virginia Beach; Virginia,447021,Virginia Beach, Virginia
40,Atlanta; Georgia,443775,Atlanta, Georgia
41,Colorado Springs; Colorado,431834,Colorado Springs, Colorado
42,Raleigh; North Carolina,423179,Raleigh, North Carolina
43,Omaha; Nebraska,421570,Omaha, Nebraska
44,Miami; Florida,413892,Miami, Florida
45,Oakland; California,400740,Oakland, California
46,Tulsa; Oklahoma,393987,Tulsa, Oklahoma
47,Minneapolis; Minnesota,392880,Minneapolis, Minnesota
48,Cleveland; Ohio,390928,Cleveland, Ohio
49,Wichita; Kansas,385577,Wichita, Kansas
50,Arlington; Texas,375600,Arlington, Texas
51,New Orleans; Louisiana,369250,New Orleans, Louisiana
52,Bakersfield; California,358597,Bakersfield, California
53,Tampa; Florida,347645,Tampa, Florida
54,Honolulu; Hawaii,345610,Honolulu, Hawaii
55,Anaheim; California,343248,Anaheim, California
56,Aurora; Colorado,339030,Aurora, Colorado
57,Santa Ana; California,330920,Santa Ana, California
58,St. Louis; Missouri,318172,St. Louis, Missouri
59,Riverside; California,313673,Riverside, California
60,Corpus Christi; Texas,312195,Corpus Christi, Texas
61,Pittsburgh; Pennsylvania,306211,Pittsburgh, Pennsylvania
62,Lexington-Fayette; Kentucky,305489,Lexington-Fayette, Kentucky
63,"Anchorage municipality, Alaska",298610,"Anchorage municipality, Alaska",
64,Stockton; California,297984,Stockton, California
65,Cincinnati; Ohio,296550,Cincinnati, Ohio
66,St. Paul; Minnesota,290770,St. Paul, Minnesota
67,Toledo; Ohio,284012,Toledo, Ohio
68,Newark; New Jersey,277727,Newark, New Jersey
69,Greensboro; North Carolina,277080,Greensboro, North Carolina
70,Plano; Texas,272068,Plano, Texas
71,Henderson; Nevada,265679,Henderson, Nevada
72,Lincoln; Nebraska,265404,Lincoln, Nebraska
73,Buffalo; New York,259384,Buffalo, New York
74,Fort Wayne; Indiana,254555,Fort Wayne, Indiana
75,Jersey ; New Jersey,254441,Jersey , New Jersey
76,Chula Vista; California,252422,Chula Vista, California
77,Orlando; Florida,249562,Orlando, Florida
78,St. Petersburg; Florida,246541,St. Petersburg, Florida
79,Norfolk; Virginia,245782,Norfolk, Virginia
80,Chandler; Arizona,245628,Chandler, Arizona
81,Laredo; Texas,244731,Laredo, Texas
82,Madison; Wisconsin,240323,Madison, Wisconsin
83,Durham; North Carolina,239358,Durham, North Carolina
84,Lubbock; Texas,236065,Lubbock, Texas
85,Winston-Salem; North Carolina,234349,Winston-Salem, North Carolina
86,Garland; Texas,233564,Garland, Texas
87,Glendale; Arizona,232143,Glendale, Arizona
88,Hialeah; Florida,231941,Hialeah, Florida
89,Reno; Nevada,231027,Reno, Nevada
90,Baton Rouge; Louisiana,230058,Baton Rouge, Louisiana
91,Irvine; California,229985,Irvine, California
92,Chesapeake; Virginia,228417,Chesapeake, Virginia
93,Irving; Texas,225427,Irving, Texas
94,Scottsdale; Arizona,223514,Scottsdale, Arizona
95,North Las Vegas; Nevada,223491,North Las Vegas, Nevada
96,Fremont; California,221986,Fremont, California
97,"Gilbert town, Arizona",221140,"Gilbert town, Arizona",
98,San Bernardino; California,213295,San Bernardino, California
99,Boise; Idaho,212303,Boise, Idaho
100,Birmingham; Alabama,212038,Birmingham, Alabama
